dataset,model,seed,method,attack,scope,rank,metric,value,artifact
thubenchmark,eegnet,42,madry,autoattack,full_test,raw,clean,0.9363295880149812,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed42_madry_autoattack.pth
thubenchmark,eegnet,42,madry,autoattack,full_test,raw,robust,0.7715355805243446,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed42_madry_autoattack.pth
thubenchmark,eegnet,42,madry,fgsm,full_test,raw,clean,0.9363295880149812,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed42_madry_fgsm.pth
thubenchmark,eegnet,42,madry,fgsm,full_test,raw,robust,0.7802746566791511,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed42_madry_fgsm.pth
thubenchmark,eegnet,42,madry,pgd,full_test,raw,clean,0.9363295880149812,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed42_madry_pgd.pth
thubenchmark,eegnet,42,madry,pgd,full_test,raw,robust,0.7752808988764045,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed42_madry_pgd.pth
thubenchmark,eegnet,42,madry,cw,full_test,raw,clean,0.9363295880149812,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed42_madry_cw.pth
thubenchmark,eegnet,42,madry,cw,full_test,raw,robust,0.0,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed42_madry_cw.pth
thubenchmark,eegnet,42,trades,autoattack,full_test,raw,clean,0.9400749063670412,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed42_trades_autoattack.pth
thubenchmark,eegnet,42,trades,autoattack,full_test,raw,robust,0.6716604244694132,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed42_trades_autoattack.pth
thubenchmark,eegnet,42,trades,fgsm,full_test,raw,clean,0.9400749063670412,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed42_trades_fgsm.pth
thubenchmark,eegnet,42,trades,fgsm,full_test,raw,robust,0.6978776529338327,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed42_trades_fgsm.pth
thubenchmark,eegnet,42,trades,pgd,full_test,raw,clean,0.9400749063670412,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed42_trades_pgd.pth
thubenchmark,eegnet,42,trades,pgd,full_test,raw,robust,0.6779026217228464,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed42_trades_pgd.pth
thubenchmark,eegnet,42,trades,cw,full_test,raw,clean,0.9400749063670412,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed42_trades_cw.pth
thubenchmark,eegnet,42,trades,cw,full_test,raw,robust,0.0,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed42_trades_cw.pth
thubenchmark,eegnet,42,fbf,autoattack,full_test,raw,clean,0.9563046192259675,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed42_fbf_autoattack.pth
thubenchmark,eegnet,42,fbf,autoattack,full_test,raw,robust,0.5580524344569289,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed42_fbf_autoattack.pth
thubenchmark,eegnet,42,fbf,fgsm,full_test,raw,clean,0.9563046192259675,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed42_fbf_fgsm.pth
thubenchmark,eegnet,42,fbf,fgsm,full_test,raw,robust,0.5942571785268415,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed42_fbf_fgsm.pth
thubenchmark,eegnet,42,fbf,pgd,full_test,raw,clean,0.9563046192259675,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed42_fbf_pgd.pth
thubenchmark,eegnet,42,fbf,pgd,full_test,raw,robust,0.5593008739076155,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed42_fbf_pgd.pth
thubenchmark,eegnet,42,fbf,cw,full_test,raw,clean,0.9563046192259675,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed42_fbf_cw.pth
thubenchmark,eegnet,42,fbf,cw,full_test,raw,robust,0.0,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed42_fbf_cw.pth
thubenchmark,eegnet,42,ea_forward,autoattack,full_test,raw,clean,0.9725343320848939,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed42_ea_forward_autoattack.pth
thubenchmark,eegnet,42,ea_forward,autoattack,full_test,raw,robust,0.2858926342072409,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed42_ea_forward_autoattack.pth
thubenchmark,eegnet,42,ea_forward,fgsm,full_test,raw,clean,0.9712858926342073,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed42_ea_forward_fgsm.pth
thubenchmark,eegnet,42,ea_forward,fgsm,full_test,raw,robust,0.5230961298377028,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed42_ea_forward_fgsm.pth
thubenchmark,eegnet,42,ea_forward,pgd,full_test,raw,clean,0.9712858926342073,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed42_ea_forward_pgd.pth
thubenchmark,eegnet,42,ea_forward,pgd,full_test,raw,robust,0.30087390761548066,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed42_ea_forward_pgd.pth
thubenchmark,eegnet,42,ea_forward,cw,full_test,raw,clean,0.9712858926342073,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed42_ea_forward_cw.pth
thubenchmark,eegnet,42,ea_forward,cw,full_test,raw,robust,0.0,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed42_ea_forward_cw.pth
thubenchmark,eegnet,42,rpcf_at,autoattack,full_test,raw,clean,0.9388264669163545,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed42_rpcf_at_autoattack.pth
thubenchmark,eegnet,42,rpcf_at,autoattack,full_test,raw,robust,0.7752808988764045,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed42_rpcf_at_autoattack.pth
thubenchmark,eegnet,42,rpcf_at,fgsm,full_test,raw,clean,0.9388264669163545,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed42_rpcf_at_fgsm.pth
thubenchmark,eegnet,42,rpcf_at,fgsm,full_test,raw,robust,0.7890137328339576,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed42_rpcf_at_fgsm.pth
thubenchmark,eegnet,42,rpcf_at,pgd,full_test,raw,clean,0.9388264669163545,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed42_rpcf_at_pgd.pth
thubenchmark,eegnet,42,rpcf_at,pgd,full_test,raw,robust,0.7802746566791511,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed42_rpcf_at_pgd.pth
thubenchmark,eegnet,42,rpcf_at,cw,full_test,raw,clean,0.9388264669163545,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed42_rpcf_at_cw.pth
thubenchmark,eegnet,42,rpcf_at,cw,full_test,raw,robust,0.0,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed42_rpcf_at_cw.pth
thubenchmark,eegnet,43,madry,autoattack,full_test,raw,clean,0.9178571428571428,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_madry_autoattack.pth
thubenchmark,eegnet,43,madry,autoattack,full_test,raw,robust,0.7869047619047619,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_madry_autoattack.pth
thubenchmark,eegnet,43,madry,fgsm,full_test,raw,clean,0.9178571428571428,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_madry_fgsm.pth
thubenchmark,eegnet,43,madry,fgsm,full_test,raw,robust,0.8071428571428572,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_madry_fgsm.pth
thubenchmark,eegnet,43,madry,pgd,full_test,raw,clean,0.9178571428571428,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_madry_pgd.pth
thubenchmark,eegnet,43,madry,pgd,full_test,raw,robust,0.8,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_madry_pgd.pth
thubenchmark,eegnet,43,madry,cw,full_test,raw,clean,0.9178571428571428,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_madry_cw.pth
thubenchmark,eegnet,43,madry,cw,full_test,raw,robust,0.0,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_madry_cw.pth
thubenchmark,eegnet,43,trades,autoattack,full_test,raw,clean,0.9392857142857143,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_trades_autoattack.pth
thubenchmark,eegnet,43,trades,autoattack,full_test,raw,robust,0.6630952380952381,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_trades_autoattack.pth
thubenchmark,eegnet,43,trades,fgsm,full_test,raw,clean,0.9392857142857143,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_trades_fgsm.pth
thubenchmark,eegnet,43,trades,fgsm,full_test,raw,robust,0.6880952380952381,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_trades_fgsm.pth
thubenchmark,eegnet,43,trades,pgd,full_test,raw,clean,0.9392857142857143,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_trades_pgd.pth
thubenchmark,eegnet,43,trades,pgd,full_test,raw,robust,0.6666666666666666,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_trades_pgd.pth
thubenchmark,eegnet,43,trades,cw,full_test,raw,clean,0.9392857142857143,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_trades_cw.pth
thubenchmark,eegnet,43,trades,cw,full_test,raw,robust,0.0,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_trades_cw.pth
thubenchmark,eegnet,43,fbf,autoattack,full_test,raw,clean,0.9416666666666667,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_fbf_autoattack.pth
thubenchmark,eegnet,43,fbf,autoattack,full_test,raw,robust,0.5678571428571428,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_fbf_autoattack.pth
thubenchmark,eegnet,43,fbf,fgsm,full_test,raw,clean,0.9416666666666667,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_fbf_fgsm.pth
thubenchmark,eegnet,43,fbf,fgsm,full_test,raw,robust,0.5976190476190476,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_fbf_fgsm.pth
thubenchmark,eegnet,43,fbf,pgd,full_test,raw,clean,0.9416666666666667,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_fbf_pgd.pth
