dataset,model,method,attack,scope,rank,metric,seed,comparison,delta_pp
thubenchmark,eegnet,rpcf_at,autoattack,full_test,raw,clean,42,rpcf_minus_madry,0.24968789013732895
thubenchmark,eegnet,rpcf_at,autoattack,full_test,raw,robust,42,rpcf_minus_madry,0.3745318352059934
thubenchmark,eegnet,rpcf_at,fgsm,full_test,raw,clean,42,rpcf_minus_madry,0.24968789013732895
thubenchmark,eegnet,rpcf_at,fgsm,full_test,raw,robust,42,rpcf_minus_madry,0.8739076154806513
thubenchmark,eegnet,rpcf_at,pgd,full_test,raw,clean,42,rpcf_minus_madry,0.24968789013732895
thubenchmark,eegnet,rpcf_at,pgd,full_test,raw,robust,42,rpcf_minus_madry,0.4993757802746579
thubenchmark,eegnet,rpcf_at,cw,full_test,raw,clean,42,rpcf_minus_madry,0.24968789013732895
thubenchmark,eegnet,rpcf_at,cw,full_test,raw,robust,42,rpcf_minus_madry,0.0
thubenchmark,eegnet,rpcf_at,autoattack,full_test,raw,clean,43,rpcf_minus_madry,-0.11904761904761862
thubenchmark,eegnet,rpcf_at,autoattack,full_test,raw,robust,43,rpcf_minus_madry,0.0
thubenchmark,eegnet,rpcf_at,fgsm,full_test,raw,clean,43,rpcf_minus_madry,-0.11904761904761862
thubenchmark,eegnet,rpcf_at,fgsm,full_test,raw,robust,43,rpcf_minus_madry,-0.11904761904761862
thubenchmark,eegnet,rpcf_at,pgd,full_test,raw,clean,43,rpcf_minus_madry,-0.11904761904761862
thubenchmark,eegnet,rpcf_at,pgd,full_test,raw,robust,43,rpcf_minus_madry,-0.11904761904761862
thubenchmark,eegnet,rpcf_at,cw,full_test,raw,clean,43,rpcf_minus_madry,-0.11904761904761862
thubenchmark,eegnet,rpcf_at,cw,full_test,raw,robust,43,rpcf_minus_madry,0.0
thubenchmark,eegnet,rpcf_at,autoattack,full_test,raw,clean,44,rpcf_minus_madry,0.11904761904761862
thubenchmark,eegnet,rpcf_at,autoattack,full_test,raw,robust,44,rpcf_minus_madry,0.0
thubenchmark,eegnet,rpcf_at,fgsm,full_test,raw,clean,44,rpcf_minus_madry,0.11904761904761862
thubenchmark,eegnet,rpcf_at,fgsm,full_test,raw,robust,44,rpcf_minus_madry,-0.11904761904761862
thubenchmark,eegnet,rpcf_at,pgd,full_test,raw,clean,44,rpcf_minus_madry,0.11904761904761862
thubenchmark,eegnet,rpcf_at,pgd,full_test,raw,robust,44,rpcf_minus_madry,-0.5952380952380931
thubenchmark,eegnet,rpcf_at,cw,full_test,raw,clean,44,rpcf_minus_madry,0.11904761904761862
thubenchmark,eegnet,rpcf_at,cw,full_test,raw,robust,44,rpcf_minus_madry,0.0
thubenchmark,eegnet,rpcf_at,autoattack,full_test,raw,clean,45,rpcf_minus_madry,0.11904761904761862
thubenchmark,eegnet,rpcf_at,autoattack,full_test,raw,robust,45,rpcf_minus_madry,0.0
thubenchmark,eegnet,rpcf_at,fgsm,full_test,raw,clean,45,rpcf_minus_madry,0.11904761904761862
thubenchmark,eegnet,rpcf_at,fgsm,full_test,raw,robust,45,rpcf_minus_madry,0.0
thubenchmark,eegnet,rpcf_at,pgd,full_test,raw,clean,45,rpcf_minus_madry,0.11904761904761862
thubenchmark,eegnet,rpcf_at,pgd,full_test,raw,robust,45,rpcf_minus_madry,-0.4761904761904745
thubenchmark,eegnet,rpcf_at,cw,full_test,raw,clean,45,rpcf_minus_madry,0.11904761904761862
thubenchmark,eegnet,rpcf_at,cw,full_test,raw,robust,45,rpcf_minus_madry,0.0
thubenchmark,eegnet,rpcf_at,autoattack,full_test,raw,clean,46,rpcf_minus_madry,0.0
thubenchmark,eegnet,rpcf_at,autoattack,full_test,raw,robust,46,rpcf_minus_madry,0.3571428571428559
thubenchmark,eegnet,rpcf_at,fgsm,full_test,raw,clean,46,rpcf_minus_madry,0.0
thubenchmark,eegnet,rpcf_at,fgsm,full_test,raw,robust,46,rpcf_minus_madry,0.11904761904761862
thubenchmark,eegnet,rpcf_at,pgd,full_test,raw,clean,46,rpcf_minus_madry,0.0
thubenchmark,eegnet,rpcf_at,pgd,full_test,raw,robust,46,rpcf_minus_madry,0.3571428571428559
thubenchmark,eegnet,rpcf_at,cw,full_test,raw,clean,46,rpcf_minus_madry,0.0
thubenchmark,eegnet,rpcf_at,cw,full_test,raw,robust,46,rpcf_minus_madry,0.0
thubenchmark,deepconvnet,rpcf_at,autoattack,full_test,raw,clean,42,rpcf_minus_madry,0.7490636704119868
thubenchmark,deepconvnet,rpcf_at,autoattack,full_test,raw,robust,42,rpcf_minus_madry,3.2459425717852763
thubenchmark,deepconvnet,rpcf_at,fgsm,full_test,raw,clean,42,rpcf_minus_madry,0.7490636704119868
thubenchmark,deepconvnet,rpcf_at,fgsm,full_test,raw,robust,42,rpcf_minus_madry,3.1210986267166008
thubenchmark,deepconvnet,rpcf_at,pgd,full_test,raw,clean,42,rpcf_minus_madry,0.7490636704119868
thubenchmark,deepconvnet,rpcf_at,pgd,full_test,raw,robust,42,rpcf_minus_madry,2.372034956304625
thubenchmark,deepconvnet,rpcf_at,cw,full_test,raw,clean,42,rpcf_minus_madry,0.7490636704119868
thubenchmark,deepconvnet,rpcf_at,cw,full_test,raw,robust,42,rpcf_minus_madry,0.0
thubenchmark,deepconvnet,rpcf_at,autoattack,full_test,raw,clean,43,rpcf_minus_madry,0.7142857142857117
thubenchmark,deepconvnet,rpcf_at,autoattack,full_test,raw,robust,43,rpcf_minus_madry,-0.7142857142857117
thubenchmark,deepconvnet,rpcf_at,fgsm,full_test,raw,clean,43,rpcf_minus_madry,0.7142857142857117
thubenchmark,deepconvnet,rpcf_at,fgsm,full_test,raw,robust,43,rpcf_minus_madry,-1.4285714285714235
thubenchmark,deepconvnet,rpcf_at,pgd,full_test,raw,clean,43,rpcf_minus_madry,0.7142857142857117
thubenchmark,deepconvnet,rpcf_at,pgd,full_test,raw,robust,43,rpcf_minus_madry,-0.7142857142857117
thubenchmark,deepconvnet,rpcf_at,cw,full_test,raw,clean,43,rpcf_minus_madry,0.7142857142857117
thubenchmark,deepconvnet,rpcf_at,cw,full_test,raw,robust,43,rpcf_minus_madry,0.0
thubenchmark,deepconvnet,rpcf_at,autoattack,full_test,raw,clean,44,rpcf_minus_madry,0.952380952380949
thubenchmark,deepconvnet,rpcf_at,autoattack,full_test,raw,robust,44,rpcf_minus_madry,1.904761904761898
thubenchmark,deepconvnet,rpcf_at,fgsm,full_test,raw,clean,44,rpcf_minus_madry,0.952380952380949
thubenchmark,deepconvnet,rpcf_at,fgsm,full_test,raw,robust,44,rpcf_minus_madry,2.1428571428571463
thubenchmark,deepconvnet,rpcf_at,pgd,full_test,raw,clean,44,rpcf_minus_madry,0.952380952380949
thubenchmark,deepconvnet,rpcf_at,pgd,full_test,raw,robust,44,rpcf_minus_madry,2.0238095238095166
thubenchmark,deepconvnet,rpcf_at,cw,full_test,raw,clean,44,rpcf_minus_madry,0.952380952380949
thubenchmark,deepconvnet,rpcf_at,cw,full_test,raw,robust,44,rpcf_minus_madry,0.0
thubenchmark,deepconvnet,rpcf_at,autoattack,full_test,raw,clean,45,rpcf_minus_madry,0.11904761904761862
thubenchmark,deepconvnet,rpcf_at,autoattack,full_test,raw,robust,45,rpcf_minus_madry,0.7142857142857117
thubenchmark,deepconvnet,rpcf_at,fgsm,full_test,raw,clean,45,rpcf_minus_madry,0.11904761904761862
thubenchmark,deepconvnet,rpcf_at,fgsm,full_test,raw,robust,45,rpcf_minus_madry,0.8333333333333304
thubenchmark,deepconvnet,rpcf_at,pgd,full_test,raw,clean,45,rpcf_minus_madry,0.11904761904761862
thubenchmark,deepconvnet,rpcf_at,pgd,full_test,raw,robust,45,rpcf_minus_madry,0.5952380952380931
thubenchmark,deepconvnet,rpcf_at,cw,full_test,raw,clean,45,rpcf_minus_madry,0.11904761904761862
thubenchmark,deepconvnet,rpcf_at,cw,full_test,raw,robust,45,rpcf_minus_madry,0.0
thubenchmark,deepconvnet,rpcf_at,autoattack,full_test,raw,clean,46,rpcf_minus_madry,0.23809523809523725
thubenchmark,deepconvnet,rpcf_at,autoattack,full_test,raw,robust,46,rpcf_minus_madry,0.3571428571428559
thubenchmark,deepconvnet,rpcf_at,fgsm,full_test,raw,clean,46,rpcf_minus_madry,0.23809523809523725
thubenchmark,deepconvnet,rpcf_at,fgsm,full_test,raw,robust,46,rpcf_minus_madry,0.3571428571428559
thubenchmark,deepconvnet,rpcf_at,pgd,full_test,raw,clean,46,rpcf_minus_madry,0.23809523809523725
thubenchmark,deepconvnet,rpcf_at,pgd,full_test,raw,robust,46,rpcf_minus_madry,0.23809523809523725
thubenchmark,deepconvnet,rpcf_at,cw,full_test,raw,clean,46,rpcf_minus_madry,0.23809523809523725
thubenchmark,deepconvnet,rpcf_at,cw,full_test,raw,robust,46,rpcf_minus_madry,0.0
thubenchmark,tsception,rpcf_at,autoattack,full_test,raw,clean,42,rpcf_minus_madry,0.0
thubenchmark,tsception,rpcf_at,autoattack,full_test,raw,robust,42,rpcf_minus_madry,-4.2446941323345815
thubenchmark,tsception,rpcf_at,fgsm,full_test,raw,clean,42,rpcf_minus_madry,0.0
thubenchmark,tsception,rpcf_at,fgsm,full_test,raw,robust,42,rpcf_minus_madry,-3.745318352059923
thubenchmark,tsception,rpcf_at,pgd,full_test,raw,clean,42,rpcf_minus_madry,0.0
thubenchmark,tsception,rpcf_at,pgd,full_test,raw,robust,42,rpcf_minus_madry,-5.867665418227219
thubenchmark,tsception,rpcf_at,cw,full_test,raw,clean,42,rpcf_minus_madry,0.0
thubenchmark,tsception,rpcf_at,cw,full_test,raw,robust,42,rpcf_minus_madry,-0.24968789013732834
thubenchmark,tsception,rpcf_at,autoattack,full_test,raw,clean,43,rpcf_minus_madry,-0.5952380952380931
thubenchmark,tsception,rpcf_at,autoattack,full_test,raw,robust,43,rpcf_minus_madry,-0.8333333333333304
thubenchmark,tsception,rpcf_at,fgsm,full_test,raw,clean,43,rpcf_minus_madry,-0.5952380952380931
thubenchmark,tsception,rpcf_at,fgsm,full_test,raw,robust,43,rpcf_minus_madry,-2.7380952380952395
thubenchmark,tsception,rpcf_at,pgd,full_test,raw,clean,43,rpcf_minus_madry,-0.5952380952380931
thubenchmark,tsception,rpcf_at,pgd,full_test,raw,robust,43,rpcf_minus_madry,-3.5714285714285756
thubenchmark,tsception,rpcf_at,cw,full_test,raw,clean,43,rpcf_minus_madry,-0.5952380952380931
thubenchmark,tsception,rpcf_at,cw,full_test,raw,robust,43,rpcf_minus_madry,0.5952380952380952
thubenchmark,tsception,rpcf_at,autoattack,full_test,raw,clean,44,rpcf_minus_madry,2.3809523809523836
thubenchmark,tsception,rpcf_at,autoattack,full_test,raw,robust,44,rpcf_minus_madry,-1.4285714285714235
thubenchmark,tsception,rpcf_at,fgsm,full_test,raw,clean,44,rpcf_minus_madry,2.3809523809523836
thubenchmark,tsception,rpcf_at,fgsm,full_test,raw,robust,44,rpcf_minus_madry,-2.261904761904759
thubenchmark,tsception,rpcf_at,pgd,full_test,raw,clean,44,rpcf_minus_madry,2.3809523809523836
thubenchmark,tsception,rpcf_at,pgd,full_test,raw,robust,44,rpcf_minus_madry,-1.0714285714285676
thubenchmark,tsception,rpcf_at,cw,full_test,raw,clean,44,rpcf_minus_madry,2.3809523809523836
thubenchmark,tsception,rpcf_at,cw,full_test,raw,robust,44,rpcf_minus_madry,0.47619047619047616
thubenchmark,tsception,rpcf_at,autoattack,full_test,raw,clean,45,rpcf_minus_madry,-3.809523809523807
thubenchmark,tsception,rpcf_at,autoattack,full_test,raw,robust,45,rpcf_minus_madry,-2.619047619047615
thubenchmark,tsception,rpcf_at,fgsm,full_test,raw,clean,45,rpcf_minus_madry,-3.809523809523807
thubenchmark,tsception,rpcf_at,fgsm,full_test,raw,robust,45,rpcf_minus_madry,-4.285714285714287
thubenchmark,tsception,rpcf_at,pgd,full_test,raw,clean,45,rpcf_minus_madry,-3.809523809523807
thubenchmark,tsception,rpcf_at,pgd,full_test,raw,robust,45,rpcf_minus_madry,-3.6904761904761885
thubenchmark,tsception,rpcf_at,cw,full_test,raw,clean,45,rpcf_minus_madry,-3.809523809523807
thubenchmark,tsception,rpcf_at,cw,full_test,raw,robust,45,rpcf_minus_madry,0.1190476190476191
thubenchmark,tsception,rpcf_at,autoattack,full_test,raw,clean,46,rpcf_minus_madry,0.11904761904761862
thubenchmark,tsception,rpcf_at,autoattack,full_test,raw,robust,46,rpcf_minus_madry,-0.8333333333333304
thubenchmark,tsception,rpcf_at,fgsm,full_test,raw,clean,46,rpcf_minus_madry,0.11904761904761862
thubenchmark,tsception,rpcf_at,fgsm,full_test,raw,robust,46,rpcf_minus_madry,-0.8333333333333359
thubenchmark,tsception,rpcf_at,pgd,full_test,raw,clean,46,rpcf_minus_madry,0.11904761904761862
thubenchmark,tsception,rpcf_at,pgd,full_test,raw,robust,46,rpcf_minus_madry,-3.214285714285714
thubenchmark,tsception,rpcf_at,cw,full_test,raw,clean,46,rpcf_minus_madry,0.11904761904761862
thubenchmark,tsception,rpcf_at,cw,full_test,raw,robust,46,rpcf_minus_madry,0.11904761904761905
thubenchmark,atcnet,rpcf_at,autoattack,full_test,raw,clean,42,rpcf_minus_madry,0.6242197253433224
thubenchmark,atcnet,rpcf_at,autoattack,full_test,raw,robust,42,rpcf_minus_madry,0.3745318352059934
thubenchmark,atcnet,rpcf_at,fgsm,full_test,raw,clean,42,rpcf_minus_madry,0.6242197253433224
thubenchmark,atcnet,rpcf_at,fgsm,full_test,raw,robust,42,rpcf_minus_madry,-0.8739076154806402
thubenchmark,atcnet,rpcf_at,pgd,full_test,raw,clean,42,rpcf_minus_madry,0.6242197253433224
thubenchmark,atcnet,rpcf_at,pgd,full_test,raw,robust,42,rpcf_minus_madry,-0.3745318352059934
thubenchmark,atcnet,rpcf_at,cw,full_test,raw,clean,42,rpcf_minus_madry,0.6242197253433224
thubenchmark,atcnet,rpcf_at,cw,full_test,raw,robust,42,rpcf_minus_madry,0.0
thubenchmark,atcnet,rpcf_at,autoattack,full_test,raw,clean,43,rpcf_minus_madry,0.0
thubenchmark,atcnet,rpcf_at,autoattack,full_test,raw,robust,43,rpcf_minus_madry,1.0714285714285787
thubenchmark,atcnet,rpcf_at,fgsm,full_test,raw,clean,43,rpcf_minus_madry,0.0
thubenchmark,atcnet,rpcf_at,fgsm,full_test,raw,robust,43,rpcf_minus_madry,1.5476190476190532
thubenchmark,atcnet,rpcf_at,pgd,full_test,raw,clean,43,rpcf_minus_madry,0.0
thubenchmark,atcnet,rpcf_at,pgd,full_test,raw,robust,43,rpcf_minus_madry,1.1904761904761973
thubenchmark,atcnet,rpcf_at,cw,full_test,raw,clean,43,rpcf_minus_madry,0.0
thubenchmark,atcnet,rpcf_at,cw,full_test,raw,robust,43,rpcf_minus_madry,0.0
thubenchmark,atcnet,rpcf_at,autoattack,full_test,raw,clean,44,rpcf_minus_madry,0.9523809523809601
thubenchmark,atcnet,rpcf_at,autoattack,full_test,raw,robust,44,rpcf_minus_madry,-0.3571428571428559
thubenchmark,atcnet,rpcf_at,fgsm,full_test,raw,clean,44,rpcf_minus_madry,0.9523809523809601
thubenchmark,atcnet,rpcf_at,fgsm,full_test,raw,robust,44,rpcf_minus_madry,0.23809523809523725
thubenchmark,atcnet,rpcf_at,pgd,full_test,raw,clean,44,rpcf_minus_madry,0.9523809523809601
thubenchmark,atcnet,rpcf_at,pgd,full_test,raw,robust,44,rpcf_minus_madry,-0.3571428571428559
thubenchmark,atcnet,rpcf_at,cw,full_test,raw,clean,44,rpcf_minus_madry,0.9523809523809601
thubenchmark,atcnet,rpcf_at,cw,full_test,raw,robust,44,rpcf_minus_madry,0.0
thubenchmark,atcnet,rpcf_at,autoattack,full_test,raw,clean,45,rpcf_minus_madry,0.4761904761904856
thubenchmark,atcnet,rpcf_at,autoattack,full_test,raw,robust,45,rpcf_minus_madry,0.11904761904761862
thubenchmark,atcnet,rpcf_at,fgsm,full_test,raw,clean,45,rpcf_minus_madry,0.4761904761904856
thubenchmark,atcnet,rpcf_at,fgsm,full_test,raw,robust,45,rpcf_minus_madry,0.23809523809523725
thubenchmark,atcnet,rpcf_at,pgd,full_test,raw,clean,45,rpcf_minus_madry,0.4761904761904856
thubenchmark,atcnet,rpcf_at,pgd,full_test,raw,robust,45,rpcf_minus_madry,-0.7142857142857117
thubenchmark,atcnet,rpcf_at,cw,full_test,raw,clean,45,rpcf_minus_madry,0.4761904761904856
thubenchmark,atcnet,rpcf_at,cw,full_test,raw,robust,45,rpcf_minus_madry,0.0
thubenchmark,atcnet,rpcf_at,autoattack,full_test,raw,clean,46,rpcf_minus_madry,0.23809523809523725
thubenchmark,atcnet,rpcf_at,autoattack,full_test,raw,robust,46,rpcf_minus_madry,-0.23809523809523725
thubenchmark,atcnet,rpcf_at,fgsm,full_test,raw,clean,46,rpcf_minus_madry,0.23809523809523725
thubenchmark,atcnet,rpcf_at,fgsm,full_test,raw,robust,46,rpcf_minus_madry,-0.23809523809523725
thubenchmark,atcnet,rpcf_at,pgd,full_test,raw,clean,46,rpcf_minus_madry,0.23809523809523725
thubenchmark,atcnet,rpcf_at,pgd,full_test,raw,robust,46,rpcf_minus_madry,-0.5952380952380931
thubenchmark,atcnet,rpcf_at,cw,full_test,raw,clean,46,rpcf_minus_madry,0.23809523809523725
thubenchmark,atcnet,rpcf_at,cw,full_test,raw,robust,46,rpcf_minus_madry,0.11904761904761905
thubenchmark,conformer,rpcf_at,autoattack,full_test,raw,clean,42,rpcf_minus_madry,-0.8739076154806513
thubenchmark,conformer,rpcf_at,autoattack,full_test,raw,robust,42,rpcf_minus_madry,-2.2471910112359605
thubenchmark,conformer,rpcf_at,fgsm,full_test,raw,clean,42,rpcf_minus_madry,-0.8739076154806513
thubenchmark,conformer,rpcf_at,fgsm,full_test,raw,robust,42,rpcf_minus_madry,-3.1210986267166008
thubenchmark,conformer,rpcf_at,pgd,full_test,raw,clean,42,rpcf_minus_madry,-0.8739076154806513
thubenchmark,conformer,rpcf_at,pgd,full_test,raw,robust,42,rpcf_minus_madry,-1.872659176029956
thubenchmark,conformer,rpcf_at,cw,full_test,raw,clean,42,rpcf_minus_madry,-0.8739076154806513
thubenchmark,conformer,rpcf_at,cw,full_test,raw,robust,42,rpcf_minus_madry,0.0
thubenchmark,conformer,rpcf_at,autoattack,full_test,raw,clean,43,rpcf_minus_madry,0.11904761904761862
thubenchmark,conformer,rpcf_at,autoattack,full_test,raw,robust,43,rpcf_minus_madry,-0.11904761904761862
thubenchmark,conformer,rpcf_at,fgsm,full_test,raw,clean,43,rpcf_minus_madry,0.11904761904761862
thubenchmark,conformer,rpcf_at,fgsm,full_test,raw,robust,43,rpcf_minus_madry,-0.8333333333333304
thubenchmark,conformer,rpcf_at,pgd,full_test,raw,clean,43,rpcf_minus_madry,0.11904761904761862
thubenchmark,conformer,rpcf_at,pgd,full_test,raw,robust,43,rpcf_minus_madry,-0.357142857142867
thubenchmark,conformer,rpcf_at,cw,full_test,raw,clean,43,rpcf_minus_madry,0.11904761904761862
thubenchmark,conformer,rpcf_at,cw,full_test,raw,robust,43,rpcf_minus_madry,0.0
thubenchmark,conformer,rpcf_at,autoattack,full_test,raw,clean,44,rpcf_minus_madry,-0.4761904761904745
thubenchmark,conformer,rpcf_at,autoattack,full_test,raw,robust,44,rpcf_minus_madry,-0.7142857142857117
thubenchmark,conformer,rpcf_at,fgsm,full_test,raw,clean,44,rpcf_minus_madry,-0.4761904761904745
thubenchmark,conformer,rpcf_at,fgsm,full_test,raw,robust,44,rpcf_minus_madry,-2.3809523809523725
thubenchmark,conformer,rpcf_at,pgd,full_test,raw,clean,44,rpcf_minus_madry,-0.4761904761904745
thubenchmark,conformer,rpcf_at,pgd,full_test,raw,robust,44,rpcf_minus_madry,-0.4761904761904856
thubenchmark,conformer,rpcf_at,cw,full_test,raw,clean,44,rpcf_minus_madry,-0.4761904761904745
thubenchmark,conformer,rpcf_at,cw,full_test,raw,robust,44,rpcf_minus_madry,0.0
thubenchmark,conformer,rpcf_at,autoattack,full_test,raw,clean,45,rpcf_minus_madry,-1.3095238095238049
thubenchmark,conformer,rpcf_at,autoattack,full_test,raw,robust,45,rpcf_minus_madry,-5.595238095238086
thubenchmark,conformer,rpcf_at,fgsm,full_test,raw,clean,45,rpcf_minus_madry,-1.3095238095238049
