task_id,kind,dataset,model,seed,method,attack,returncode,elapsed_seconds,physical_gpu,actual_batch_size,actual_cache_attack_batch_size,actual_rpcf_batch_size,actual_rpcf_eval_batch_size,status,output_exists,artifact
prepare_data_thubenchmark,prepare_data,thubenchmark,,-1,,,0,180.53060865402222,0,128,,,,completed,True,logs/exp031/exp031_full_20260729_174215/data/thubenchmark.json
prepare_data_seediv,prepare_data,seediv,,-1,,,0,549.4719579219818,0,128,,,,completed,True,logs/exp031/exp031_full_20260729_174215/data/seediv.json
prepare_data_bciciv2a,prepare_data,bciciv2a,,-1,,,0,34.04793405532837,0,128,,,,completed,True,logs/exp031/exp031_full_20260729_174215/data/bciciv2a.json
train_standard_thubenchmark_eegnet_seed42_madry,train_standard,thubenchmark,eegnet,42,madry,,0,14171.994806289673,1,128,,,,completed,True,checkpoints/thubenchmark_eegnet_train_only_subject_no_ea_subject_split_madry_eps0.03_42_fold0_exp031_full_20260729_174215_madry_best.pth
train_standard_thubenchmark_eegnet_seed42_trades,train_standard,thubenchmark,eegnet,42,trades,,0,18807.978881835938,1,128,,,,completed,True,checkpoints/thubenchmark_eegnet_train_only_subject_no_ea_subject_split_trades_eps0.03_42_fold0_exp031_full_20260729_174215_trades_best.pth
train_standard_thubenchmark_eegnet_seed42_fbf,train_standard,thubenchmark,eegnet,42,fbf,,0,8256.095712900162,1,128,,,,completed,True,checkpoints/thubenchmark_eegnet_train_only_subject_no_ea_subject_split_fbf_eps0.03_42_fold0_exp031_full_20260729_174215_fbf_best.pth
train_ea_thubenchmark_eegnet_seed42_ea_forward,train_ea,thubenchmark,eegnet,42,ea_forward,,0,19187.610330581665,1,128,,,,completed,True,checkpoints/thubenchmark_eegnet_ea_forward_train_only_subject_no_ea_subject_split_madry_eps0.03_42_fold0_exp031_full_20260729_174215_ea_forward_best.pth
rpcf_cache_thubenchmark_eegnet_seed42_madry,rpcf_cache,thubenchmark,eegnet,42,madry,,0,62848.95532202721,0,128,16,,,completed,True,purified_data/exp031/exp031_full_20260729_174215/cache/thubenchmark_eegnet_seed42.pth
rpcf_at_thubenchmark_eegnet_seed42_rpcf_at,rpcf_at,thubenchmark,eegnet,42,rpcf_at,,0,5933.417353391647,0,128,16,,,completed,True,checkpoints/thubenchmark_eegnet_train_only_subject_no_ea_subject_split_madry_eps0.03_42_fold0_exp031_full_20260729_174215_rpcf_at_best.pth
train_standard_thubenchmark_eegnet_seed43_madry,train_standard,thubenchmark,eegnet,43,madry,,0,11296.199762821198,2,128,,,,completed,True,checkpoints/thubenchmark_eegnet_train_only_subject_no_ea_subject_split_madry_eps0.03_43_fold0_exp031_full_20260729_174215_madry_best.pth
train_standard_thubenchmark_eegnet_seed43_trades,train_standard,thubenchmark,eegnet,43,trades,,0,13388.580236911774,2,128,,,,completed,True,checkpoints/thubenchmark_eegnet_train_only_subject_no_ea_subject_split_trades_eps0.03_43_fold0_exp031_full_20260729_174215_trades_best.pth
