dataset,model,method,seed,warning,range_pp
thubenchmark,eegnet,ea_forward,42,raw_clean_differs_across_attack_tasks,0.12484394506866447
thubenchmark,eegnet,ea_forward,43,raw_clean_differs_across_attack_tasks,0.3571428571428559
thubenchmark,eegnet,ea_forward,45,raw_clean_differs_across_attack_tasks,0.11904761904761862
thubenchmark,eegnet,ea_forward,46,raw_clean_differs_across_attack_tasks,0.23809523809523725
thubenchmark,deepconvnet,ea_forward,42,raw_clean_differs_across_attack_tasks,0.4993757802746468
thubenchmark,deepconvnet,ea_forward,43,raw_clean_differs_across_attack_tasks,0.4761904761904745
thubenchmark,deepconvnet,ea_forward,44,raw_clean_differs_across_attack_tasks,0.11904761904761862
thubenchmark,deepconvnet,ea_forward,45,raw_clean_differs_across_attack_tasks,0.23809523809523725
thubenchmark,deepconvnet,ea_forward,46,raw_clean_differs_across_attack_tasks,0.23809523809523725
thubenchmark,atcnet,ea_forward,42,raw_clean_differs_across_attack_tasks,1.2484394506866336
thubenchmark,atcnet,ea_forward,43,raw_clean_differs_across_attack_tasks,0.8333333333333304
thubenchmark,atcnet,ea_forward,44,raw_clean_differs_across_attack_tasks,0.952380952380949
thubenchmark,atcnet,ea_forward,46,raw_clean_differs_across_attack_tasks,0.11904761904761862
thubenchmark,conformer,ea_forward,42,raw_clean_differs_across_attack_tasks,0.12484394506866447
thubenchmark,conformer,ea_forward,43,raw_clean_differs_across_attack_tasks,0.23809523809523725
thubenchmark,conformer,ea_forward,45,raw_clean_differs_across_attack_tasks,0.23809523809523794
thubenchmark,conformer,ea_forward,46,raw_clean_differs_across_attack_tasks,0.11904761904761862
thubenchmark,tcnet,ea_forward,42,raw_clean_differs_across_attack_tasks,0.24968789013732842
thubenchmark,tcnet,ea_forward,44,raw_clean_differs_across_attack_tasks,0.23809523809523794
thubenchmark,tcnet,ea_forward,45,raw_clean_differs_across_attack_tasks,0.2380952380952383
thubenchmark,tcnet,ea_forward,46,raw_clean_differs_across_attack_tasks,0.11904761904761897
seediv,eegnet,ea_forward,43,raw_clean_differs_across_attack_tasks,0.13280212483399723
seediv,eegnet,ea_forward,44,raw_clean_differs_across_attack_tasks,0.079681274900395
seediv,deepconvnet,ea_forward,42,raw_clean_differs_across_attack_tasks,0.2921646746347928
seediv,deepconvnet,ea_forward,43,raw_clean_differs_across_attack_tasks,2.788844621513947
seediv,deepconvnet,ea_forward,44,raw_clean_differs_across_attack_tasks,2.1513944223107595
seediv,deepconvnet,ea_forward,45,raw_clean_differs_across_attack_tasks,1.0889774236387761
seediv,deepconvnet,ea_forward,46,raw_clean_differs_across_attack_tasks,0.9561752988047845
seediv,tsception,ea_forward,45,raw_clean_differs_across_attack_tasks,0.026560424966798335
seediv,atcnet,ea_forward,42,raw_clean_differs_across_attack_tasks,0.4780876494023867
seediv,atcnet,ea_forward,43,raw_clean_differs_across_attack_tasks,0.34528552456838946
seediv,atcnet,ea_forward,44,raw_clean_differs_across_attack_tasks,0.21248339973439223
seediv,atcnet,ea_forward,45,raw_clean_differs_across_attack_tasks,0.6374501992031878
seediv,atcnet,ea_forward,46,raw_clean_differs_across_attack_tasks,0.84993359893758
seediv,conformer,ea_forward,42,raw_clean_differs_across_attack_tasks,0.345285524568395
seediv,conformer,ea_forward,43,raw_clean_differs_across_attack_tasks,2.3904382470119554
seediv,conformer,ea_forward,44,raw_clean_differs_across_attack_tasks,0.3187250996015911
seediv,conformer,ea_forward,45,raw_clean_differs_across_attack_tasks,1.726427622841964
seediv,conformer,ea_forward,46,raw_clean_differs_across_attack_tasks,3.107569721115533
seediv,tcnet,ea_forward,42,raw_clean_differs_across_attack_tasks,1.9654714475431656
seediv,tcnet,ea_forward,43,raw_clean_differs_across_attack_tasks,1.8326693227091628
seediv,tcnet,ea_forward,44,raw_clean_differs_across_attack_tasks,1.54050464807437
seediv,tcnet,ea_forward,45,raw_clean_differs_across_attack_tasks,1.4077025232403673
seediv,tcnet,ea_forward,46,raw_clean_differs_across_attack_tasks,0.026560424966803886
bciciv2a,eegnet,ea_forward,42,raw_clean_differs_across_attack_tasks,0.5747126436781602
bciciv2a,eegnet,ea_forward,44,raw_clean_differs_across_attack_tasks,0.5747126436781602
bciciv2a,eegnet,ea_forward,45,raw_clean_differs_across_attack_tasks,0.19157088122605526
bciciv2a,eegnet,ea_forward,46,raw_clean_differs_across_attack_tasks,0.7662835249042155
bciciv2a,deepconvnet,ea_forward,42,raw_clean_differs_across_attack_tasks,1.7241379310344807
bciciv2a,deepconvnet,ea_forward,43,raw_clean_differs_across_attack_tasks,0.7662835249042155
bciciv2a,deepconvnet,ea_forward,44,raw_clean_differs_across_attack_tasks,0.1915708812260497
bciciv2a,deepconvnet,ea_forward,46,raw_clean_differs_across_attack_tasks,0.7662835249042099
bciciv2a,atcnet,ea_forward,42,raw_clean_differs_across_attack_tasks,0.1915708812260497
bciciv2a,atcnet,ea_forward,43,raw_clean_differs_across_attack_tasks,0.9578544061302707
bciciv2a,atcnet,ea_forward,44,raw_clean_differs_across_attack_tasks,2.873563218390804
bciciv2a,atcnet,ea_forward,46,raw_clean_differs_across_attack_tasks,1.1494252873563204
bciciv2a,conformer,ea_forward,42,raw_clean_differs_across_attack_tasks,0.5747126436781602
bciciv2a,conformer,ea_forward,43,raw_clean_differs_across_attack_tasks,0.19157088122605526
bciciv2a,conformer,ea_forward,45,raw_clean_differs_across_attack_tasks,3.0651340996168566
bciciv2a,conformer,ea_forward,46,raw_clean_differs_across_attack_tasks,2.1072796934865856
bciciv2a,tcnet,ea_forward,42,raw_clean_differs_across_attack_tasks,1.149425287356323
bciciv2a,tcnet,ea_forward,43,raw_clean_differs_across_attack_tasks,1.3409961685823757
bciciv2a,tcnet,ea_forward,44,raw_clean_differs_across_attack_tasks,0.7662835249042155
bciciv2a,tcnet,ea_forward,45,raw_clean_differs_across_attack_tasks,0.7662835249042155
bciciv2a,tcnet,ea_forward,46,raw_clean_differs_across_attack_tasks,0.19157088122605526
