dataset,model,seed,rank,metric,value,artifact
thubenchmark,eegnet,42,25,purified_clean_accuracy,0.908203125,purified_data/exp031/exp031_full_20260729_174215/bpda/thubenchmark_eegnet_seed42_rank25.pth
thubenchmark,eegnet,42,25,bpda_purified_adv_accuracy,0.8359375,purified_data/exp031/exp031_full_20260729_174215/bpda/thubenchmark_eegnet_seed42_rank25.pth
thubenchmark,eegnet,42,30,purified_clean_accuracy,0.916015625,purified_data/exp031/exp031_full_20260729_174215/bpda/thubenchmark_eegnet_seed42_rank30.pth
thubenchmark,eegnet,42,30,bpda_purified_adv_accuracy,0.8125,purified_data/exp031/exp031_full_20260729_174215/bpda/thubenchmark_eegnet_seed42_rank30.pth
thubenchmark,eegnet,43,25,purified_clean_accuracy,0.88671875,purified_data/exp031/exp031_full_20260729_174215/bpda/thubenchmark_eegnet_seed43_rank25.pth
thubenchmark,eegnet,43,25,bpda_purified_adv_accuracy,0.826171875,purified_data/exp031/exp031_full_20260729_174215/bpda/thubenchmark_eegnet_seed43_rank25.pth
thubenchmark,eegnet,43,30,purified_clean_accuracy,0.8984375,purified_data/exp031/exp031_full_20260729_174215/bpda/thubenchmark_eegnet_seed43_rank30.pth
thubenchmark,eegnet,43,30,bpda_purified_adv_accuracy,0.822265625,purified_data/exp031/exp031_full_20260729_174215/bpda/thubenchmark_eegnet_seed43_rank30.pth
thubenchmark,eegnet,44,25,purified_clean_accuracy,0.90625,purified_data/exp031/exp031_full_20260729_174215/bpda/thubenchmark_eegnet_seed44_rank25.pth
thubenchmark,eegnet,44,25,bpda_purified_adv_accuracy,0.80859375,purified_data/exp031/exp031_full_20260729_174215/bpda/thubenchmark_eegnet_seed44_rank25.pth
thubenchmark,eegnet,44,30,purified_clean_accuracy,0.912109375,purified_data/exp031/exp031_full_20260729_174215/bpda/thubenchmark_eegnet_seed44_rank30.pth
thubenchmark,eegnet,44,30,bpda_purified_adv_accuracy,0.806640625,purified_data/exp031/exp031_full_20260729_174215/bpda/thubenchmark_eegnet_seed44_rank30.pth
thubenchmark,eegnet,45,25,purified_clean_accuracy,0.8984375,purified_data/exp031/exp031_full_20260729_174215/bpda/thubenchmark_eegnet_seed45_rank25.pth
thubenchmark,eegnet,45,25,bpda_purified_adv_accuracy,0.8125,purified_data/exp031/exp031_full_20260729_174215/bpda/thubenchmark_eegnet_seed45_rank25.pth
thubenchmark,eegnet,45,30,purified_clean_accuracy,0.90234375,purified_data/exp031/exp031_full_20260729_174215/bpda/thubenchmark_eegnet_seed45_rank30.pth
thubenchmark,eegnet,45,30,bpda_purified_adv_accuracy,0.802734375,purified_data/exp031/exp031_full_20260729_174215/bpda/thubenchmark_eegnet_seed45_rank30.pth
thubenchmark,eegnet,46,25,purified_clean_accuracy,0.91015625,purified_data/exp031/exp031_full_20260729_174215/bpda/thubenchmark_eegnet_seed46_rank25.pth
thubenchmark,eegnet,46,25,bpda_purified_adv_accuracy,0.822265625,purified_data/exp031/exp031_full_20260729_174215/bpda/thubenchmark_eegnet_seed46_rank25.pth
thubenchmark,eegnet,46,30,purified_clean_accuracy,0.921875,purified_data/exp031/exp031_full_20260729_174215/bpda/thubenchmark_eegnet_seed46_rank30.pth
thubenchmark,eegnet,46,30,bpda_purified_adv_accuracy,0.82421875,purified_data/exp031/exp031_full_20260729_174215/bpda/thubenchmark_eegnet_seed46_rank30.pth
