comparison,dataset,model,method,attack,scope,rank,metric,seed_count,mean_delta_pp,sample_std_pp,positive_seeds
rpcf_minus_madry,thubenchmark,eegnet,rpcf_at,autoattack,full_test,raw,clean,5,0.07374710183698951,0.13934478294609304,3
rpcf_minus_madry,thubenchmark,eegnet,rpcf_at,autoattack,full_test,raw,robust,5,0.14633493846976986,0.20047165940986217,2
rpcf_minus_madry,thubenchmark,eegnet,rpcf_at,fgsm,full_test,raw,clean,5,0.07374710183698951,0.13934478294609304,3
rpcf_minus_madry,thubenchmark,eegnet,rpcf_at,fgsm,full_test,raw,robust,5,0.15097199928660654,0.4160134626291627,2
rpcf_minus_madry,thubenchmark,eegnet,rpcf_at,pgd,full_test,raw,clean,5,0.07374710183698951,0.13934478294609304,3
rpcf_minus_madry,thubenchmark,eegnet,rpcf_at,pgd,full_test,raw,robust,5,-0.0667915106117345,0.4873037441171034,2
rpcf_minus_madry,thubenchmark,eegnet,rpcf_at,cw,full_test,raw,clean,5,0.07374710183698951,0.13934478294609304,3
rpcf_minus_madry,thubenchmark,eegnet,rpcf_at,cw,full_test,raw,robust,5,0.0,0.0,0
rpcf_minus_madry,thubenchmark,deepconvnet,rpcf_at,autoattack,full_test,raw,clean,5,0.5545746388443007,0.35757043717982073,5
rpcf_minus_madry,thubenchmark,deepconvnet,rpcf_at,autoattack,full_test,raw,robust,5,1.101569466738006,1.5202749608694452,4
rpcf_minus_madry,thubenchmark,deepconvnet,rpcf_at,fgsm,full_test,raw,clean,5,0.5545746388443007,0.35757043717982073,5
rpcf_minus_madry,thubenchmark,deepconvnet,rpcf_at,fgsm,full_test,raw,robust,5,1.005172106295702,1.742415733069655,4
rpcf_minus_madry,thubenchmark,deepconvnet,rpcf_at,pgd,full_test,raw,clean,5,0.5545746388443007,0.35757043717982073,5
rpcf_minus_madry,thubenchmark,deepconvnet,rpcf_at,pgd,full_test,raw,robust,5,0.902978419832352,1.2812792926639258,4
rpcf_minus_madry,thubenchmark,deepconvnet,rpcf_at,cw,full_test,raw,clean,5,0.5545746388443007,0.35757043717982073,5
rpcf_minus_madry,thubenchmark,deepconvnet,rpcf_at,cw,full_test,raw,robust,5,0.0,0.0,0
rpcf_minus_madry,thubenchmark,tsception,rpcf_at,autoattack,full_test,raw,clean,5,-0.3809523809523796,2.226222306877098,2
rpcf_minus_madry,thubenchmark,tsception,rpcf_at,autoattack,full_test,raw,robust,5,-1.9917959693240561,1.4551879609054204,0
rpcf_minus_madry,thubenchmark,tsception,rpcf_at,fgsm,full_test,raw,clean,5,-0.3809523809523796,2.226222306877098,2
rpcf_minus_madry,thubenchmark,tsception,rpcf_at,fgsm,full_test,raw,robust,5,-2.772873194221509,1.3470756168588969,0
rpcf_minus_madry,thubenchmark,tsception,rpcf_at,pgd,full_test,raw,clean,5,-0.3809523809523796,2.226222306877098,2
rpcf_minus_madry,thubenchmark,tsception,rpcf_at,pgd,full_test,raw,robust,5,-3.4830568931692527,1.7048005194899667,0
rpcf_minus_madry,thubenchmark,tsception,rpcf_at,cw,full_test,raw,clean,5,-0.3809523809523796,2.226222306877098,2
rpcf_minus_madry,thubenchmark,tsception,rpcf_at,cw,full_test,raw,robust,5,0.21196718387729624,0.3343291933543477,4
rpcf_minus_madry,thubenchmark,atcnet,rpcf_at,autoattack,full_test,raw,clean,5,0.45817727840200106,0.3641752201085978,4
rpcf_minus_madry,thubenchmark,atcnet,rpcf_at,autoattack,full_test,raw,robust,5,0.19395398608881953,0.569770838598783,3
rpcf_minus_madry,thubenchmark,atcnet,rpcf_at,fgsm,full_test,raw,clean,5,0.45817727840200106,0.3641752201085978,4
rpcf_minus_madry,thubenchmark,atcnet,rpcf_at,fgsm,full_test,raw,robust,5,0.18236133404673005,0.8891890945382106,3
rpcf_minus_madry,thubenchmark,atcnet,rpcf_at,pgd,full_test,raw,clean,5,0.45817727840200106,0.3641752201085978,4
rpcf_minus_madry,thubenchmark,atcnet,rpcf_at,pgd,full_test,raw,robust,5,-0.17014446227929136,0.7753749830751937,1
rpcf_minus_madry,thubenchmark,atcnet,rpcf_at,cw,full_test,raw,clean,5,0.45817727840200106,0.3641752201085978,4
rpcf_minus_madry,thubenchmark,atcnet,rpcf_at,cw,full_test,raw,robust,5,0.02380952380952381,0.053239713749995,1
rpcf_minus_madry,thubenchmark,conformer,rpcf_at,autoattack,full_test,raw,clean,5,-0.5557339040485099,0.554974169484236,1
rpcf_minus_madry,thubenchmark,conformer,rpcf_at,autoattack,full_test,raw,robust,5,-1.2589620117709988,2.9421480548048224,1
rpcf_minus_madry,thubenchmark,conformer,rpcf_at,fgsm,full_test,raw,clean,5,-0.5557339040485099,0.554974169484236,1
rpcf_minus_madry,thubenchmark,conformer,rpcf_at,fgsm,full_test,raw,robust,5,-1.9813625824861747,2.6628650927224475,1
