2025-10-21 12:13:45 | INFO | root | Attacking pgd on m3cv with eegnet
2025-10-21 12:13:45 | INFO | root | Namespace(dataset='m3cv', model='eegnet', fold=0, attack='pgd', batch_size=32, seed=42, gpu_id=0)
2025-10-21 12:13:45 | INFO | torcheeg | 🔍 | Detected cached processing results, reading cache from ./cached_data/m3cv_EA.
2025-10-21 12:13:51 | INFO | root | Dataset: m3cv
2025-10-21 12:13:51 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/m3cv_split/kfold_split.
2025-10-21 12:13:51 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-10-21 12:13:52 | INFO | root | Model: eegnet, fold: 0
2025-10-21 12:13:52 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/m3cv_split/test_val_split_0.
2025-10-21 12:13:52 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-10-21 12:13:52 | INFO | root | Sample num in test set: 5786
2025-10-21 12:13:52 | INFO | root | test dataset size: 5786
2025-10-21 12:13:53 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 1/181
2025-10-21 12:13:54 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 2/181
2025-10-21 12:13:55 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 3/181
2025-10-21 12:13:56 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 4/181
2025-10-21 12:13:57 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 5/181
2025-10-21 12:13:58 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 6/181
2025-10-21 12:13:59 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 7/181
2025-10-21 12:14:00 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 8/181
2025-10-21 12:14:01 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 9/181
2025-10-21 12:14:02 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 10/181
2025-10-21 12:14:03 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 11/181
2025-10-21 12:14:04 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 12/181
2025-10-21 12:14:05 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 13/181
