2025-11-07 15:43:28 | INFO | root | Purifying autoattack on bciciv2a with eegnet
2025-11-07 15:43:28 | INFO | root | Namespace(dataset='bciciv2a', model='eegnet', fold=0, attack='autoattack', batch_size=32, seed=42, gpu_id=0, config='PTR_8_2048_rank18.yaml', sample_num=512)
2025-11-07 15:43:28 | INFO | torcheeg | 🔍 | Detected cached processing results, reading cache from ./cached_data/bciciv2a_EA.
2025-11-07 15:43:29 | INFO | root | Dataset: bciciv2a
2025-11-07 15:43:29 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/bciciv2a_split/kfold_split.
2025-11-07 15:43:29 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-11-07 15:43:29 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/bciciv2a_split/test_val_split_0.
2025-11-07 15:43:29 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-11-07 15:43:29 | INFO | root | Adversarial and clean data loaded, ad_data shape: torch.Size([512, 1, 22, 1750]), clean_data shape: torch.Size([512, 1, 22, 1750])
2025-11-07 15:43:29 | INFO | root | Model: eegnet, fold: 0
2025-11-07 15:43:29 | INFO | root | Adversarial data accuracy: 0.10546875, loss: 2.2500068843364716
2025-11-07 15:43:30 | INFO | root | Clean data accuracy: 0.73046875, loss: 0.7227585557848215
2025-11-07 15:43:30 | INFO | root | Purifying data 0, original shape: torch.Size([22, 1750, 1]), new shape: torch.Size([32, 2240, 1])
2025-11-07 15:43:30 | INFO | root | End purification for resolution 4*4, loss=0.1241295263171196
2025-11-07 15:43:30 | INFO | root | End purification for resolution 8*8, loss=0.24455678462982178
2025-11-07 15:43:30 | INFO | root | End purification for resolution 16*16, loss=0.2660565674304962
2025-11-07 15:43:30 | INFO | root | End purification for resolution 32*32, loss=0.07649003714323044
2025-11-07 15:43:30 | INFO | root | Training time: 0.9584674835205078, loss: 0.07649003714323044, params_num: 29160
2025-11-07 15:43:30 | INFO | root | 
2025-11-07 15:43:30 | INFO | root | Purifying data 1, original shape: torch.Size([22, 1750, 1]), new shape: torch.Size([32, 2240, 1])
2025-11-07 15:43:31 | INFO | root | End purification for resolution 4*4, loss=0.12694020569324493
2025-11-07 15:43:31 | INFO | root | End purification for resolution 8*8, loss=0.21300652623176575
2025-11-07 15:43:31 | INFO | root | End purification for resolution 16*16, loss=0.19315850734710693
2025-11-07 15:43:31 | INFO | root | End purification for resolution 32*32, loss=0.06241043657064438
2025-11-07 15:43:31 | INFO | root | Training time: 0.9136340618133545, loss: 0.06241043657064438, params_num: 29160
2025-11-07 15:43:31 | INFO | root | 
2025-11-07 15:43:31 | INFO | root | Purifying data 2, original shape: torch.Size([22, 1750, 1]), new shape: torch.Size([32, 2240, 1])
2025-11-07 15:43:32 | INFO | root | End purification for resolution 4*4, loss=0.11613776534795761
2025-11-07 15:43:32 | INFO | root | End purification for resolution 8*8, loss=0.19918572902679443
2025-11-07 15:43:32 | INFO | root | End purification for resolution 16*16, loss=0.18272385001182556
2025-11-07 15:43:32 | INFO | root | End purification for resolution 32*32, loss=0.0595763623714447
2025-11-07 15:43:32 | INFO | root | Training time: 0.8965399265289307, loss: 0.0595763623714447, params_num: 29160
2025-11-07 15:43:32 | INFO | root | 
2025-11-07 15:43:32 | INFO | root | Purifying data 3, original shape: torch.Size([22, 1750, 1]), new shape: torch.Size([32, 2240, 1])
2025-11-07 15:43:32 | INFO | root | End purification for resolution 4*4, loss=0.10461638122797012
2025-11-07 15:43:33 | INFO | root | End purification for resolution 8*8, loss=0.24191467463970184
2025-11-07 15:43:33 | INFO | root | End purification for resolution 16*16, loss=0.2613643705844879
2025-11-07 15:43:33 | INFO | root | End purification for resolution 32*32, loss=0.05671706050634384
2025-11-07 15:43:33 | INFO | root | Training time: 0.8973515033721924, loss: 0.05671706050634384, params_num: 29160
2025-11-07 15:43:33 | INFO | root | 
2025-11-07 15:43:33 | INFO | root | Purifying data 4, original shape: torch.Size([22, 1750, 1]), new shape: torch.Size([32, 2240, 1])
2025-11-07 15:43:33 | INFO | root | End purification for resolution 4*4, loss=0.13432051241397858
2025-11-07 15:43:33 | INFO | root | End purification for resolution 8*8, loss=0.24857603013515472
2025-11-07 15:43:34 | INFO | root | End purification for resolution 16*16, loss=0.221332848072052
2025-11-07 15:43:34 | INFO | root | End purification for resolution 32*32, loss=0.05355141684412956
2025-11-07 15:43:34 | INFO | root | Training time: 0.9286589622497559, loss: 0.05355141684412956, params_num: 29160
2025-11-07 15:43:34 | INFO | root | 
2025-11-07 15:43:34 | INFO | root | Purifying data 5, original shape: torch.Size([22, 1750, 1]), new shape: torch.Size([32, 2240, 1])
2025-11-07 15:43:34 | INFO | root | End purification for resolution 4*4, loss=0.1272687166929245
2025-11-07 15:43:34 | INFO | root | End purification for resolution 8*8, loss=0.23982961475849152
2025-11-07 15:43:35 | INFO | root | End purification for resolution 16*16, loss=0.2501169741153717
