2026-01-06 19:57:54 | INFO | root | Attacking cw on seediv with eegnet
2026-01-06 19:57:54 | INFO | root | Namespace(dataset='seediv', model='eegnet', at_strategy='clean', fold=0, attack='cw', eps=0.1, batch_size=32, seed=42, gpu_id=3)
2026-01-06 19:57:54 | INFO | torcheeg | 🔍 | Detected cached processing results, reading cache from ./cached_data/seediv_EA.
2026-01-06 19:58:07 | INFO | root | Dataset: seediv
2026-01-06 19:58:07 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/seediv_split/kfold_split.
2026-01-06 19:58:07 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2026-01-06 19:58:07 | INFO | root | Model: eegnet, fold: 0
2026-01-06 19:58:07 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/seediv_split/test_val_split_0.
2026-01-06 19:58:07 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2026-01-06 19:58:07 | INFO | root | Sample num in test set: 3758
2026-01-06 19:58:07 | INFO | root | test dataset size: 3758
2026-01-06 19:58:10 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 1/118
2026-01-06 19:58:14 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 2/118
2026-01-06 19:58:17 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 3/118
2026-01-06 19:58:20 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 4/118
2026-01-06 19:58:23 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 5/118
2026-01-06 19:58:26 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 6/118
2026-01-06 19:58:29 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 7/118
2026-01-06 19:58:32 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 8/118
2026-01-06 19:58:35 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 9/118
2026-01-06 19:58:38 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 10/118
2026-01-06 19:58:41 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 11/118
2026-01-06 19:58:45 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 12/118
2026-01-06 19:58:49 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 13/118
2026-01-06 19:58:52 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 14/118
2026-01-06 19:58:55 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 15/118
2026-01-06 19:58:58 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 16/118
2026-01-06 19:59:02 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 17/118
2026-01-06 19:59:05 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 18/118
2026-01-06 19:59:08 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 19/118
2026-01-06 19:59:11 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 20/118
2026-01-06 19:59:14 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 21/118
2026-01-06 19:59:17 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 22/118
2026-01-06 19:59:20 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 23/118
2026-01-06 19:59:22 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 24/118
2026-01-06 19:59:26 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 25/118
2026-01-06 19:59:29 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 26/118
2026-01-06 19:59:32 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 27/118
2026-01-06 19:59:36 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 28/118
2026-01-06 19:59:40 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 29/118
2026-01-06 19:59:43 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 30/118
2026-01-06 19:59:46 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 31/118
2026-01-06 19:59:49 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 32/118
