2026-01-06 19:24:55 | INFO | root | Attacking pgd on seediv with eegnet
2026-01-06 19:24:55 | INFO | root | Namespace(dataset='seediv', model='eegnet', at_strategy='clean', fold=0, attack='pgd', eps=0.1, batch_size=32, seed=42, gpu_id=3)
2026-01-06 19:24:55 | INFO | torcheeg | 🔍 | Detected cached processing results, reading cache from ./cached_data/seediv_EA.
2026-01-06 19:25:09 | INFO | root | Dataset: seediv
2026-01-06 19:25:09 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/seediv_split/kfold_split.
2026-01-06 19:25:09 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2026-01-06 19:25:09 | INFO | root | Model: eegnet, fold: 0
2026-01-06 19:25:09 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/seediv_split/test_val_split_0.
2026-01-06 19:25:09 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2026-01-06 19:25:09 | INFO | root | Sample num in test set: 3758
2026-01-06 19:25:09 | INFO | root | test dataset size: 3758
2026-01-06 19:25:13 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 1/118
2026-01-06 19:25:17 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 2/118
2026-01-06 19:25:21 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 3/118
2026-01-06 19:25:24 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 4/118
2026-01-06 19:25:27 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 5/118
2026-01-06 19:25:31 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 6/118
2026-01-06 19:25:34 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 7/118
2026-01-06 19:25:38 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 8/118
2026-01-06 19:25:41 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 9/118
2026-01-06 19:25:45 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 10/118
2026-01-06 19:25:49 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 11/118
2026-01-06 19:25:53 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 12/118
2026-01-06 19:25:57 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 13/118
2026-01-06 19:26:00 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 14/118
2026-01-06 19:26:04 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 15/118
2026-01-06 19:26:08 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 16/118
2026-01-06 19:26:11 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 17/118
2026-01-06 19:26:14 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 18/118
