2026-01-06 20:10:55 | INFO | root | Attacking cw on seediv with eegnet
2026-01-06 20:10:55 | INFO | root | Namespace(dataset='seediv', model='eegnet', at_strategy='fbf', fold=0, attack='cw', eps=0.1, batch_size=32, seed=42, gpu_id=3)
2026-01-06 20:10:55 | INFO | torcheeg | 🔍 | Detected cached processing results, reading cache from ./cached_data/seediv_EA.
2026-01-06 20:11:08 | INFO | root | Dataset: seediv
2026-01-06 20:11:08 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/seediv_split/kfold_split.
2026-01-06 20:11:08 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2026-01-06 20:11:08 | INFO | root | Model: eegnet, fold: 0
2026-01-06 20:11:08 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/seediv_split/test_val_split_0.
2026-01-06 20:11:08 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2026-01-06 20:11:08 | INFO | root | Sample num in test set: 3758
2026-01-06 20:11:08 | INFO | root | test dataset size: 3758
2026-01-06 20:11:10 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 1/118
2026-01-06 20:11:13 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 2/118
2026-01-06 20:11:15 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 3/118
2026-01-06 20:11:16 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 4/118
2026-01-06 20:11:18 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 5/118
2026-01-06 20:11:20 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 6/118
2026-01-06 20:11:22 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 7/118
2026-01-06 20:11:23 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 8/118
2026-01-06 20:11:25 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 9/118
2026-01-06 20:11:27 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 10/118
2026-01-06 20:11:29 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 11/118
2026-01-06 20:11:31 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 12/118
2026-01-06 20:11:33 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 13/118
2026-01-06 20:11:35 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 14/118
2026-01-06 20:11:37 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 15/118
2026-01-06 20:11:38 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 16/118
2026-01-06 20:11:40 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 17/118
2026-01-06 20:11:42 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 18/118
2026-01-06 20:11:44 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 19/118
2026-01-06 20:11:46 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 20/118
2026-01-06 20:11:47 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 21/118
2026-01-06 20:11:49 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 22/118
2026-01-06 20:11:51 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 23/118
2026-01-06 20:11:53 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 24/118
2026-01-06 20:11:55 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 25/118
2026-01-06 20:11:56 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 26/118
2026-01-06 20:11:58 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 27/118
2026-01-06 20:12:00 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 28/118
2026-01-06 20:12:03 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 29/118
2026-01-06 20:12:05 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 30/118
2026-01-06 20:12:07 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 31/118
2026-01-06 20:12:09 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 32/118
2026-01-06 20:12:11 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 33/118
2026-01-06 20:12:13 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 34/118
2026-01-06 20:12:16 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 35/118
2026-01-06 20:12:18 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 36/118
2026-01-06 20:12:19 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 37/118
2026-01-06 20:12:21 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 38/118
2026-01-06 20:12:23 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 39/118
2026-01-06 20:12:25 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 40/118
2026-01-06 20:12:27 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 41/118
2026-01-06 20:12:28 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 42/118
2026-01-06 20:12:30 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 43/118
2026-01-06 20:12:32 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 44/118
2026-01-06 20:12:35 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 45/118
2026-01-06 20:12:37 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 46/118
2026-01-06 20:12:39 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 47/118
2026-01-06 20:12:41 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 48/118
2026-01-06 20:12:43 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 49/118
2026-01-06 20:12:45 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 50/118
2026-01-06 20:12:46 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 51/118
2026-01-06 20:12:48 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 52/118
2026-01-06 20:12:50 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 53/118
2026-01-06 20:12:52 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 54/118
2026-01-06 20:12:54 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 55/118
2026-01-06 20:12:55 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 56/118
2026-01-06 20:12:58 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 57/118
2026-01-06 20:12:59 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 58/118
