2026-01-06 19:09:54 | INFO | root | Attacking autoattack on seediv with eegnet
2026-01-06 19:09:54 | INFO | root | Namespace(dataset='seediv', model='eegnet', at_strategy='madry', fold=0, attack='autoattack', eps=0.1, batch_size=32, seed=42, gpu_id=3)
2026-01-06 19:09:54 | INFO | torcheeg | 🔍 | Detected cached processing results, reading cache from ./cached_data/seediv_EA.
2026-01-06 19:10:08 | INFO | root | Dataset: seediv
2026-01-06 19:10:08 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/seediv_split/kfold_split.
2026-01-06 19:10:08 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2026-01-06 19:10:09 | INFO | root | Model: eegnet, fold: 0
2026-01-06 19:10:09 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/seediv_split/test_val_split_0.
2026-01-06 19:10:09 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2026-01-06 19:10:09 | INFO | root | Sample num in test set: 3758
2026-01-06 19:10:09 | INFO | root | test dataset size: 3758
2026-01-06 19:10:22 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 1/118
2026-01-06 19:10:34 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 2/118
2026-01-06 19:10:45 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 3/118
2026-01-06 19:10:56 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 4/118
2026-01-06 19:11:06 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 5/118
2026-01-06 19:11:34 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 6/118
2026-01-06 19:12:07 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 7/118
2026-01-06 19:12:41 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 8/118
2026-01-06 19:13:10 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 9/118
2026-01-06 19:13:21 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 10/118
2026-01-06 19:13:32 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 11/118
2026-01-06 19:13:44 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 12/118
2026-01-06 19:13:56 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 13/118
2026-01-06 19:14:08 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 14/118
2026-01-06 19:14:36 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 15/118
2026-01-06 19:15:14 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 16/118
2026-01-06 19:15:49 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 17/118
2026-01-06 19:16:10 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 18/118
2026-01-06 19:16:21 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 19/118
2026-01-06 19:16:30 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 20/118
2026-01-06 19:16:41 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 21/118
2026-01-06 19:16:52 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 22/118
2026-01-06 19:17:02 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 23/118
2026-01-06 19:17:19 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 24/118
2026-01-06 19:17:48 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 25/118
2026-01-06 19:18:19 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 26/118
2026-01-06 19:18:29 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 27/118
2026-01-06 19:18:38 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 28/118
2026-01-06 19:18:49 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 29/118
2026-01-06 19:19:00 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 30/118
2026-01-06 19:19:14 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 31/118
2026-01-06 19:19:45 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 32/118
2026-01-06 19:20:17 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 33/118
2026-01-06 19:20:27 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 34/118
2026-01-06 19:20:38 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 35/118
2026-01-06 19:20:48 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 36/118
2026-01-06 19:20:58 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 37/118
2026-01-06 19:21:09 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 38/118
2026-01-06 19:21:34 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 39/118
2026-01-06 19:22:02 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 40/118
2026-01-06 19:22:13 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 41/118
2026-01-06 19:22:24 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 42/118
2026-01-06 19:22:34 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 43/118
2026-01-06 19:22:44 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 44/118
2026-01-06 19:22:55 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 45/118
2026-01-06 19:23:04 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 46/118
2026-01-06 19:23:26 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 47/118
2026-01-06 19:23:54 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 48/118
2026-01-06 19:24:21 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 49/118
2026-01-06 19:24:32 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 50/118
2026-01-06 19:24:42 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 51/118
2026-01-06 19:24:51 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 52/118
2026-01-06 19:25:03 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 53/118
2026-01-06 19:25:46 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 54/118
2026-01-06 19:27:18 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 55/118
2026-01-06 19:28:49 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 56/118
2026-01-06 19:30:20 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 57/118
2026-01-06 19:31:50 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 58/118
2026-01-06 19:32:30 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 59/118
