2026-01-05 18:04:21 | INFO | root | Purifying autoattack on bciciv2a with eegnet
2026-01-05 18:04:21 | INFO | root | Namespace(dataset='bciciv2a', model='eegnet', fold=0, attack='autoattack', eps=0.1, batch_size=32, seed=42, gpu_id=1, config='PTR3d_8_2048_rank5_3d_interpolate.yaml', sample_num=512, visualize=False)
2026-01-05 18:04:21 | INFO | torcheeg | 🔍 | Detected cached processing results, reading cache from ./cached_data/bciciv2a_EA.
2026-01-05 18:04:23 | INFO | root | Dataset: bciciv2a
2026-01-05 18:04:23 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/bciciv2a_split/kfold_split.
2026-01-05 18:04:23 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2026-01-05 18:04:23 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/bciciv2a_split/test_val_split_0.
2026-01-05 18:04:23 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2026-01-05 18:04:31 | INFO | root | Adversarial and clean data loaded, ad_data shape: torch.Size([512, 1, 22, 1750]), clean_data shape: torch.Size([512, 1, 22, 1750])
2026-01-05 18:04:31 | INFO | root | 
2026-01-05 18:04:31 | INFO | root | Model: eegnet, fold: 0
2026-01-05 18:04:32 | INFO | root | Adversarial data accuracy: 0.0, loss: 8.093131989240646
2026-01-05 18:04:40 | INFO | root | Clean data accuracy: 0.701171875, loss: 0.8010946176946163
2026-01-05 18:04:41 | INFO | root | original data shape: torch.Size([1, 22, 1750]), Resized data shape: torch.Size([6, 7, 2048])
2026-01-05 18:04:42 | INFO | root | End purification for resolution 256*256, loss=0.45036840438842773, iterations=256
2026-01-05 18:04:43 | INFO | root | End purification for resolution 512*512, loss=0.3584640324115753, iterations=256
2026-01-05 18:04:46 | INFO | root | End purification for resolution 1024*1024, loss=0.37542951107025146, iterations=512
2026-01-05 18:04:51 | INFO | root | End purification for resolution 2048*2048, loss=0.384004145860672, iterations=1024
2026-01-05 18:04:51 | INFO | root | Training time: 9.985384941101074, loss: 0.384004145860672, params_num: 1175
2026-01-05 18:04:51 | INFO | root | Purified data 0, shape: torch.Size([1, 22, 1750]), mse:0.6990813612937927, compression rate: 0.03051948051948052, 32.765957446808514x
2026-01-05 18:04:51 | INFO | root | 
2026-01-05 18:04:51 | INFO | root | original data shape: torch.Size([1, 22, 1750]), Resized data shape: torch.Size([6, 7, 2048])
