2026-01-07 05:46:16 | INFO | root | Purifying autoattack on seediv with eegnet
2026-01-07 05:46:16 | INFO | root | Namespace(dataset='seediv', model='eegnet', fold=0, attack='autoattack', eps=0.1, batch_size=32, seed=42, gpu_id=3, config='PTR3d_8_2048_rank35_3d_interpolate.yaml', sample_num=512, visualize=False)
2026-01-07 05:46:16 | INFO | torcheeg | 🔍 | Detected cached processing results, reading cache from ./cached_data/seediv_EA.
2026-01-07 05:46:27 | INFO | root | Dataset: seediv
2026-01-07 05:46:27 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/seediv_split/kfold_split.
2026-01-07 05:46:27 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2026-01-07 05:46:27 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/seediv_split/test_val_split_0.
2026-01-07 05:46:27 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2026-01-07 05:46:31 | INFO | root | Adversarial and clean data loaded, ad_data shape: torch.Size([512, 1, 62, 1000]), clean_data shape: torch.Size([512, 1, 62, 1000])
2026-01-07 05:46:31 | INFO | root | 
2026-01-07 05:46:31 | INFO | root | Model: eegnet, fold: 0
2026-01-07 05:46:31 | INFO | root | Adversarial data accuracy: 0.0, loss: 13.99525898694992
2026-01-07 05:46:31 | INFO | root | Clean data accuracy: 0.619140625, loss: 0.9411252774298191
2026-01-07 05:46:31 | INFO | root | original data shape: torch.Size([1, 62, 1000]), Resized data shape: torch.Size([9, 9, 1024])
2026-01-07 05:46:32 | INFO | root | End purification for resolution 128*128, loss=0.0449429452419281, iterations=256
2026-01-07 05:46:33 | INFO | root | End purification for resolution 256*256, loss=0.04697093367576599, iterations=256
2026-01-07 05:46:35 | INFO | root | End purification for resolution 512*512, loss=0.08519458025693893, iterations=512
2026-01-07 05:46:39 | INFO | root | End purification for resolution 1024*1024, loss=0.10317548364400864, iterations=1024
2026-01-07 05:46:39 | INFO | root | Training time: 8.278294563293457, loss: 0.10317548364400864, params_num: 22318
2026-01-07 05:46:40 | INFO | root | Purified data 0, shape: torch.Size([1, 62, 1000]), mse:0.12511174380779266, compression rate: 0.35996774193548386, 2.778026704901873x
2026-01-07 05:46:40 | INFO | root | 
2026-01-07 05:46:40 | INFO | root | original data shape: torch.Size([1, 62, 1000]), Resized data shape: torch.Size([9, 9, 1024])
2026-01-07 05:46:41 | INFO | root | End purification for resolution 128*128, loss=0.05530741810798645, iterations=256
2026-01-07 05:46:42 | INFO | root | End purification for resolution 256*256, loss=0.07452944666147232, iterations=256
2026-01-07 05:46:44 | INFO | root | End purification for resolution 512*512, loss=0.11886702477931976, iterations=512
2026-01-07 05:46:48 | INFO | root | End purification for resolution 1024*1024, loss=0.1417936533689499, iterations=1024
2026-01-07 05:46:48 | INFO | root | Training time: 8.29089069366455, loss: 0.1417936533689499, params_num: 22318
2026-01-07 05:46:48 | INFO | root | Purified data 1, shape: torch.Size([1, 62, 1000]), mse:0.17138801515102386, compression rate: 0.35996774193548386, 2.778026704901873x
