2025-12-17 00:27:54 | INFO | root | Purifying autoattack on thubenchmark with eegnet
2025-12-17 00:27:54 | INFO | root | Namespace(dataset='thubenchmark', model='eegnet', fold=0, attack='autoattack', batch_size=32, seed=42, gpu_id=0, config='PTR3d_8_2048_rank10_fft.yaml', sample_num=512, visualize=False)
2025-12-17 00:27:54 | INFO | torcheeg | 🔍 | Detected cached processing results, reading cache from ./cached_data/thubenchmark_EA.
2025-12-17 00:27:55 | INFO | root | Dataset: thubenchmark
2025-12-17 00:27:55 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/kfold_split.
2025-12-17 00:27:55 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-12-17 00:27:55 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/test_val_split_0.
2025-12-17 00:27:55 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-12-17 00:27:55 | INFO | root | Adversarial and clean data loaded, ad_data shape: torch.Size([512, 1, 64, 1500]), clean_data shape: torch.Size([512, 1, 64, 1500])
2025-12-17 00:27:55 | INFO | root | 
2025-12-17 00:27:55 | INFO | root | Model: eegnet, fold: 0
2025-12-17 00:27:55 | INFO | root | Adversarial data accuracy: 0.177734375, loss: 5.099132791161537
2025-12-17 00:27:55 | INFO | root | Clean data accuracy: 0.927734375, loss: 0.21533196786185727
2025-12-17 00:27:55 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([10, 11, 2048])
2025-12-17 00:27:56 | INFO | root | End purification for resolution 256*256, loss=0.18568775057792664, iterations=256
2025-12-17 00:27:56 | INFO | root | End purification for resolution 512*512, loss=0.1657547652721405, iterations=256
2025-12-17 00:27:57 | INFO | root | End purification for resolution 1024*1024, loss=0.17514213919639587, iterations=512
2025-12-17 00:27:59 | INFO | root | End purification for resolution 2048*2048, loss=0.17866072058677673, iterations=1024
2025-12-17 00:27:59 | INFO | root | Training time: 3.2759149074554443, loss: 0.17866072058677673, params_num: 4651
