2025-12-17 02:23:54 | INFO | root | Purifying autoattack on thubenchmark with eegnet
2025-12-17 02:23:54 | INFO | root | Namespace(dataset='thubenchmark', model='eegnet', fold=0, attack='autoattack', batch_size=32, seed=42, gpu_id=0, config='PTR3d_8_2048_rank25_fft_c1.yaml', sample_num=512, visualize=False)
2025-12-17 02:23:54 | INFO | torcheeg | 🔍 | Detected cached processing results, reading cache from ./cached_data/thubenchmark_EA.
2025-12-17 02:23:55 | INFO | root | Dataset: thubenchmark
2025-12-17 02:23:55 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/kfold_split.
2025-12-17 02:23:55 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-12-17 02:23:55 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/test_val_split_0.
2025-12-17 02:23:55 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-12-17 02:23:56 | INFO | root | Adversarial and clean data loaded, ad_data shape: torch.Size([512, 1, 64, 1500]), clean_data shape: torch.Size([512, 1, 64, 1500])
2025-12-17 02:23:56 | INFO | root | 
2025-12-17 02:23:56 | INFO | root | Model: eegnet, fold: 0
2025-12-17 02:23:56 | INFO | root | Adversarial data accuracy: 0.177734375, loss: 5.099132791161537
2025-12-17 02:23:56 | INFO | root | Clean data accuracy: 0.927734375, loss: 0.21533196786185727
2025-12-17 02:23:56 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([10, 11, 4096])
2025-12-17 02:23:56 | INFO | root | End purification for resolution 512*512, loss=0.06566283106803894, iterations=256
2025-12-17 02:23:57 | INFO | root | End purification for resolution 1024*1024, loss=0.026692066341638565, iterations=256
2025-12-17 02:23:58 | INFO | root | End purification for resolution 2048*2048, loss=0.02355441451072693, iterations=512
2025-12-17 02:24:00 | INFO | root | End purification for resolution 4096*4096, loss=0.022785857319831848, iterations=1024
2025-12-17 02:24:00 | INFO | root | Training time: 3.7445037364959717, loss: 0.022785857319831848, params_num: 15981
2025-12-17 02:24:00 | INFO | root | Purified data 0, shape: torch.Size([1, 64, 1500]), mse:0.28108352422714233, compression rate: 0.16646875, 6.007133470996808x
2025-12-17 02:24:00 | INFO | root | 
2025-12-17 02:24:00 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([10, 11, 4096])
2025-12-17 02:24:00 | INFO | root | End purification for resolution 512*512, loss=0.06262984126806259, iterations=256
2025-12-17 02:24:01 | INFO | root | End purification for resolution 1024*1024, loss=0.025865117087960243, iterations=256
2025-12-17 02:24:01 | INFO | root | End purification for resolution 2048*2048, loss=0.023383209481835365, iterations=512
2025-12-17 02:24:03 | INFO | root | End purification for resolution 4096*4096, loss=0.02263903059065342, iterations=1024
2025-12-17 02:24:03 | INFO | root | Training time: 3.7021892070770264, loss: 0.02263903059065342, params_num: 15981
2025-12-17 02:24:03 | INFO | root | Purified data 1, shape: torch.Size([1, 64, 1500]), mse:0.27764883637428284, compression rate: 0.16646875, 6.007133470996808x
2025-12-17 02:24:03 | INFO | root | 
2025-12-17 02:24:03 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([10, 11, 4096])
2025-12-17 02:24:04 | INFO | root | End purification for resolution 512*512, loss=0.0636960044503212, iterations=256
2025-12-17 02:24:04 | INFO | root | End purification for resolution 1024*1024, loss=0.028457259759306908, iterations=256
2025-12-17 02:24:05 | INFO | root | End purification for resolution 2048*2048, loss=0.026610130444169044, iterations=512
2025-12-17 02:24:07 | INFO | root | End purification for resolution 4096*4096, loss=0.025731822475790977, iterations=1024
