2025-12-04 17:12:48 | INFO | root | Purifying autoattack on thubenchmark with eegnet
2025-12-04 17:12:48 | INFO | root | Namespace(dataset='thubenchmark', model='eegnet', fold=0, attack='autoattack', batch_size=32, seed=42, gpu_id=0, config='PTR_8_2048_rank10_fft_dwt_c-1.yaml', sample_num=512)
2025-12-04 17:12:48 | INFO | torcheeg | 🔍 | Detected cached processing results, reading cache from ./cached_data/thubenchmark_EA.
2025-12-04 17:12:49 | INFO | root | Dataset: thubenchmark
2025-12-04 17:12:49 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/kfold_split.
2025-12-04 17:12:49 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-12-04 17:12:49 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/test_val_split_0.
2025-12-04 17:12:49 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-12-04 17:12:50 | INFO | root | Adversarial and clean data loaded, ad_data shape: torch.Size([512, 1, 64, 1500]), clean_data shape: torch.Size([512, 1, 64, 1500])
2025-12-04 17:12:50 | INFO | root | 
2025-12-04 17:12:50 | INFO | root | Model: eegnet, fold: 0
2025-12-04 17:12:50 | INFO | root | Adversarial data accuracy: 0.177734375, loss: 5.099132791161537
2025-12-04 17:12:50 | INFO | root | Clean data accuracy: 0.927734375, loss: 0.21533196786185727
2025-12-04 17:12:50 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([64, 1024, 1])
2025-12-04 17:12:50 | INFO | root | End purification for resolution 8*8, loss=8.380456924438477
2025-12-04 17:12:51 | INFO | root | End purification for resolution 16*16, loss=8.45821762084961
2025-12-04 17:12:51 | INFO | root | End purification for resolution 32*32, loss=5.092164039611816
2025-12-04 17:12:52 | INFO | root | End purification for resolution 64*64, loss=1.4192076921463013
2025-12-04 17:12:52 | INFO | root | Training time: 2.092355966567993, loss: 1.4192076921463013, params_num: 4000
2025-12-04 17:12:52 | INFO | root | Purified data 0, shape: torch.Size([1, 64, 1500]), mse:0.6614437699317932
2025-12-04 17:12:52 | INFO | root | 
2025-12-04 17:12:52 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([64, 1024, 1])
2025-12-04 17:12:52 | INFO | root | End purification for resolution 8*8, loss=24.663238525390625
2025-12-04 17:12:53 | INFO | root | End purification for resolution 16*16, loss=11.597806930541992
2025-12-04 17:12:53 | INFO | root | End purification for resolution 32*32, loss=4.943657875061035
2025-12-04 17:12:54 | INFO | root | End purification for resolution 64*64, loss=1.282350778579712
2025-12-04 17:12:54 | INFO | root | Training time: 2.0498623847961426, loss: 1.282350778579712, params_num: 4000
2025-12-04 17:12:54 | INFO | root | Purified data 1, shape: torch.Size([1, 64, 1500]), mse:0.597660481929779
2025-12-04 17:12:54 | INFO | root | 
2025-12-04 17:12:54 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([64, 1024, 1])
2025-12-04 17:12:54 | INFO | root | End purification for resolution 8*8, loss=3.516991138458252
2025-12-04 17:12:55 | INFO | root | End purification for resolution 16*16, loss=5.220885276794434
2025-12-04 17:12:55 | INFO | root | End purification for resolution 32*32, loss=4.527231693267822
2025-12-04 17:12:56 | INFO | root | End purification for resolution 64*64, loss=1.5512681007385254
2025-12-04 17:12:56 | INFO | root | Training time: 2.0071606636047363, loss: 1.5512681007385254, params_num: 4000
2025-12-04 17:12:56 | INFO | root | Purified data 2, shape: torch.Size([1, 64, 1500]), mse:0.7230042219161987
2025-12-04 17:12:56 | INFO | root | 
2025-12-04 17:12:56 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([64, 1024, 1])
