2025-12-03 16:47:44 | INFO | root | Purifying autoattack on thubenchmark with eegnet
2025-12-03 16:47:44 | INFO | root | Namespace(dataset='thubenchmark', model='eegnet', fold=0, attack='autoattack', batch_size=32, seed=42, gpu_id=0, config='PTR_8_2048_rank10_fft_stage4_c0.yaml', sample_num=512)
2025-12-03 16:47:44 | INFO | torcheeg | 🔍 | Detected cached processing results, reading cache from ./cached_data/thubenchmark_EA.
2025-12-03 16:47:45 | INFO | root | Dataset: thubenchmark
2025-12-03 16:47:45 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/kfold_split.
2025-12-03 16:47:45 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-12-03 16:47:45 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/test_val_split_0.
2025-12-03 16:47:45 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-12-03 16:47:46 | INFO | root | Adversarial and clean data loaded, ad_data shape: torch.Size([512, 1, 64, 1500]), clean_data shape: torch.Size([512, 1, 64, 1500])
2025-12-03 16:47:46 | INFO | root | Model: eegnet, fold: 0
2025-12-03 16:47:46 | INFO | root | Adversarial data accuracy: 0.177734375, loss: 5.099132791161537
2025-12-03 16:47:46 | INFO | root | Clean data accuracy: 0.927734375, loss: 0.21533196786185727
2025-12-03 16:47:46 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([64, 2048, 1])
2025-12-03 16:47:47 | INFO | root | End purification for resolution 8*8, loss=0.05998782068490982
2025-12-03 16:47:47 | INFO | root | End purification for resolution 16*16, loss=0.1536266952753067
2025-12-03 16:47:47 | INFO | root | End purification for resolution 32*32, loss=0.22978702187538147
2025-12-03 16:47:48 | INFO | root | End purification for resolution 64*64, loss=0.28502172231674194
2025-12-03 16:47:48 | INFO | root | Training time: 2.108088970184326, loss: 0.28502172231674194, params_num: 5600
2025-12-03 16:47:48 | INFO | root | Purified data 0, mse:0.5257198810577393
2025-12-03 16:47:48 | INFO | root | 
2025-12-03 16:47:48 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([64, 2048, 1])
2025-12-03 16:47:49 | INFO | root | End purification for resolution 8*8, loss=0.08427323400974274
2025-12-03 16:47:49 | INFO | root | End purification for resolution 16*16, loss=0.16582916676998138
2025-12-03 16:47:49 | INFO | root | End purification for resolution 32*32, loss=0.21109941601753235
2025-12-03 16:47:50 | INFO | root | End purification for resolution 64*64, loss=0.24881932139396667
2025-12-03 16:47:50 | INFO | root | Training time: 2.071847677230835, loss: 0.24881932139396667, params_num: 5600
2025-12-03 16:47:50 | INFO | root | Purified data 1, mse:0.45839741826057434
2025-12-03 16:47:50 | INFO | root | 
2025-12-03 16:47:50 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([64, 2048, 1])
2025-12-03 16:47:51 | INFO | root | End purification for resolution 8*8, loss=0.036402374505996704
2025-12-03 16:47:51 | INFO | root | End purification for resolution 16*16, loss=0.1104634702205658
2025-12-03 16:47:52 | INFO | root | End purification for resolution 32*32, loss=0.209804967045784
2025-12-03 16:47:53 | INFO | root | End purification for resolution 64*64, loss=0.33347296714782715
2025-12-03 16:47:53 | INFO | root | Training time: 2.1004059314727783, loss: 0.33347296714782715, params_num: 5600
2025-12-03 16:47:53 | INFO | root | Purified data 2, mse:0.6137506365776062
2025-12-03 16:47:53 | INFO | root | 
2025-12-03 16:47:53 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([64, 2048, 1])
2025-12-03 16:47:53 | INFO | root | End purification for resolution 8*8, loss=0.08803714066743851
2025-12-03 16:47:53 | INFO | root | End purification for resolution 16*16, loss=0.20068636536598206
2025-12-03 16:47:54 | INFO | root | End purification for resolution 32*32, loss=0.2401946485042572
2025-12-03 16:47:55 | INFO | root | End purification for resolution 64*64, loss=0.23281636834144592
2025-12-03 16:47:55 | INFO | root | Training time: 2.148682117462158, loss: 0.23281636834144592, params_num: 5600
2025-12-03 16:47:55 | INFO | root | Purified data 3, mse:0.42724287509918213
2025-12-03 16:47:55 | INFO | root | 
2025-12-03 16:47:55 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([64, 2048, 1])
2025-12-03 16:47:55 | INFO | root | End purification for resolution 8*8, loss=0.05268802121281624
2025-12-03 16:47:55 | INFO | root | End purification for resolution 16*16, loss=0.14168035984039307
2025-12-03 16:47:56 | INFO | root | End purification for resolution 32*32, loss=0.2222181260585785
2025-12-03 16:47:57 | INFO | root | End purification for resolution 64*64, loss=0.2876497507095337
2025-12-03 16:47:57 | INFO | root | Training time: 2.0311126708984375, loss: 0.2876497507095337, params_num: 5600
2025-12-03 16:47:57 | INFO | root | Purified data 4, mse:0.5305788516998291
2025-12-03 16:47:57 | INFO | root | 
2025-12-03 16:47:57 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([64, 2048, 1])
2025-12-03 16:47:57 | INFO | root | End purification for resolution 8*8, loss=0.08010827749967575
2025-12-03 16:47:57 | INFO | root | End purification for resolution 16*16, loss=0.1601671278476715
2025-12-03 16:47:58 | INFO | root | End purification for resolution 32*32, loss=0.22249279916286469
2025-12-03 16:47:59 | INFO | root | End purification for resolution 64*64, loss=0.26336777210235596
2025-12-03 16:47:59 | INFO | root | Training time: 2.003469228744507, loss: 0.26336777210235596, params_num: 5600
2025-12-03 16:47:59 | INFO | root | Purified data 5, mse:0.4855310320854187
2025-12-03 16:47:59 | INFO | root | 
2025-12-03 16:47:59 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([64, 2048, 1])
2025-12-03 16:47:59 | INFO | root | End purification for resolution 8*8, loss=0.058506716042757034
2025-12-03 16:47:59 | INFO | root | End purification for resolution 16*16, loss=0.14407886564731598
2025-12-03 16:48:00 | INFO | root | End purification for resolution 32*32, loss=0.21650508046150208
2025-12-03 16:48:01 | INFO | root | End purification for resolution 64*64, loss=0.27765196561813354
2025-12-03 16:48:01 | INFO | root | Training time: 2.0432770252227783, loss: 0.27765196561813354, params_num: 5600
2025-12-03 16:48:01 | INFO | root | Purified data 6, mse:0.5117611289024353
2025-12-03 16:48:01 | INFO | root | 
2025-12-03 16:48:01 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([64, 2048, 1])
2025-12-03 16:48:01 | INFO | root | End purification for resolution 8*8, loss=0.06400824338197708
2025-12-03 16:48:02 | INFO | root | End purification for resolution 16*16, loss=0.14973406493663788
2025-12-03 16:48:02 | INFO | root | End purification for resolution 32*32, loss=0.21077121794223785
2025-12-03 16:48:03 | INFO | root | End purification for resolution 64*64, loss=0.285699725151062
2025-12-03 16:48:03 | INFO | root | Training time: 2.0294673442840576, loss: 0.285699725151062, params_num: 5600
2025-12-03 16:48:03 | INFO | root | Purified data 7, mse:0.5260155200958252
2025-12-03 16:48:03 | INFO | root | 
2025-12-03 16:48:03 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([64, 2048, 1])
2025-12-03 16:48:03 | INFO | root | End purification for resolution 8*8, loss=0.06911642104387283
2025-12-03 16:48:04 | INFO | root | End purification for resolution 16*16, loss=0.14970514178276062
2025-12-03 16:48:04 | INFO | root | End purification for resolution 32*32, loss=0.21177367866039276
2025-12-03 16:48:05 | INFO | root | End purification for resolution 64*64, loss=0.28754663467407227
2025-12-03 16:48:05 | INFO | root | Training time: 2.074632167816162, loss: 0.28754663467407227, params_num: 5600
2025-12-03 16:48:05 | INFO | root | Purified data 8, mse:0.5304850935935974
2025-12-03 16:48:05 | INFO | root | 
2025-12-03 16:48:05 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([64, 2048, 1])
2025-12-03 16:48:05 | INFO | root | End purification for resolution 8*8, loss=0.031370460987091064
2025-12-03 16:48:06 | INFO | root | End purification for resolution 16*16, loss=0.09286848455667496
2025-12-03 16:48:06 | INFO | root | End purification for resolution 32*32, loss=0.18649861216545105
2025-12-03 16:48:07 | INFO | root | End purification for resolution 64*64, loss=0.33278414607048035
