2025-12-03 13:07:43 | INFO | root | Purifying autoattack on thubenchmark with eegnet
2025-12-03 13:07:43 | INFO | root | Namespace(dataset='thubenchmark', model='eegnet', fold=0, attack='autoattack', batch_size=32, seed=42, gpu_id=0, config='PTR_8_2048_rank10_interpolate_c0.yaml', sample_num=512)
2025-12-03 13:07:43 | INFO | torcheeg | 🔍 | Detected cached processing results, reading cache from ./cached_data/thubenchmark_EA.
2025-12-03 13:07:44 | INFO | root | Dataset: thubenchmark
2025-12-03 13:07:44 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/kfold_split.
2025-12-03 13:07:44 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-12-03 13:07:44 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/test_val_split_0.
2025-12-03 13:07:44 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-12-03 13:07:45 | INFO | root | Adversarial and clean data loaded, ad_data shape: torch.Size([512, 1, 64, 1500]), clean_data shape: torch.Size([512, 1, 64, 1500])
2025-12-03 13:07:45 | INFO | root | Model: eegnet, fold: 0
2025-12-03 13:07:45 | INFO | root | Adversarial data accuracy: 0.177734375, loss: 5.099132791161537
2025-12-03 13:07:45 | INFO | root | Clean data accuracy: 0.927734375, loss: 0.21533196786185727
2025-12-03 13:07:45 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([64, 2048, 1])
2025-12-03 13:07:45 | INFO | root | End purification for resolution 8*8, loss=0.10965150594711304
2025-12-03 13:07:46 | INFO | root | End purification for resolution 16*16, loss=0.2790362536907196
2025-12-03 13:07:46 | INFO | root | End purification for resolution 32*32, loss=0.41344118118286133
2025-12-03 13:07:47 | INFO | root | End purification for resolution 64*64, loss=0.5137611627578735
2025-12-03 13:07:47 | INFO | root | Training time: 2.1177220344543457, loss: 0.5137611627578735, params_num: 5600
2025-12-03 13:07:47 | INFO | root | Purified data 0, mse:0.5272963643074036
2025-12-03 13:07:47 | INFO | root | 
2025-12-03 13:07:47 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([64, 2048, 1])
2025-12-03 13:07:48 | INFO | root | End purification for resolution 8*8, loss=0.15470942854881287
2025-12-03 13:07:48 | INFO | root | End purification for resolution 16*16, loss=0.3029783368110657
2025-12-03 13:07:48 | INFO | root | End purification for resolution 32*32, loss=0.3831717371940613
2025-12-03 13:07:49 | INFO | root | End purification for resolution 64*64, loss=0.43879634141921997
2025-12-03 13:07:49 | INFO | root | Training time: 2.1076772212982178, loss: 0.43879634141921997, params_num: 5600
2025-12-03 13:07:49 | INFO | root | Purified data 1, mse:0.4485952854156494
2025-12-03 13:07:49 | INFO | root | 
2025-12-03 13:07:49 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([64, 2048, 1])
2025-12-03 13:07:50 | INFO | root | End purification for resolution 8*8, loss=0.06622057408094406
2025-12-03 13:07:50 | INFO | root | End purification for resolution 16*16, loss=0.198494553565979
2025-12-03 13:07:51 | INFO | root | End purification for resolution 32*32, loss=0.3735588788986206
2025-12-03 13:07:52 | INFO | root | End purification for resolution 64*64, loss=0.5978666543960571
2025-12-03 13:07:52 | INFO | root | Training time: 2.144364356994629, loss: 0.5978666543960571, params_num: 5600
2025-12-03 13:07:52 | INFO | root | Purified data 2, mse:0.6155374646186829
2025-12-03 13:07:52 | INFO | root | 
2025-12-03 13:07:52 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([64, 2048, 1])
