2025-12-03 10:51:43 | INFO | root | Purifying autoattack on thubenchmark with eegnet
2025-12-03 10:51:43 | INFO | root | Namespace(dataset='thubenchmark', model='eegnet', fold=0, attack='autoattack', batch_size=32, seed=42, gpu_id=0, config='PTR_8_2048_rank20_fft.yaml', sample_num=512)
2025-12-03 10:51:43 | INFO | torcheeg | 🔍 | Detected cached processing results, reading cache from ./cached_data/thubenchmark_EA.
2025-12-03 10:51:44 | INFO | root | Dataset: thubenchmark
2025-12-03 10:51:44 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/kfold_split.
2025-12-03 10:51:44 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-12-03 10:51:44 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/test_val_split_0.
2025-12-03 10:51:44 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-12-03 10:51:45 | INFO | root | Adversarial and clean data loaded, ad_data shape: torch.Size([512, 1, 64, 1500]), clean_data shape: torch.Size([512, 1, 64, 1500])
2025-12-03 10:51:45 | INFO | root | Model: eegnet, fold: 0
2025-12-03 10:51:45 | INFO | root | Adversarial data accuracy: 0.177734375, loss: 5.099132791161537
2025-12-03 10:51:45 | INFO | root | Clean data accuracy: 0.927734375, loss: 0.21533196786185727
2025-12-03 10:51:45 | INFO | root | End purification for resolution 8*8, loss=0.059987328946590424
2025-12-03 10:51:45 | INFO | root | End purification for resolution 16*16, loss=0.15362173318862915
2025-12-03 10:51:46 | INFO | root | End purification for resolution 32*32, loss=0.22818349301815033
2025-12-03 10:51:47 | INFO | root | End purification for resolution 64*64, loss=0.09286981076002121
2025-12-03 10:51:47 | INFO | root | Training time: 2.0153818130493164, loss: 0.09286981076002121, params_num: 22400
2025-12-03 10:51:47 | INFO | root | Purified data 0, mse:0.157436341047287
2025-12-03 10:51:47 | INFO | root | 
2025-12-03 10:51:47 | INFO | root | End purification for resolution 8*8, loss=0.08427314460277557
2025-12-03 10:51:47 | INFO | root | End purification for resolution 16*16, loss=0.16582457721233368
2025-12-03 10:51:48 | INFO | root | End purification for resolution 32*32, loss=0.20926359295845032
2025-12-03 10:51:49 | INFO | root | End purification for resolution 64*64, loss=0.0814601480960846
2025-12-03 10:51:49 | INFO | root | Training time: 1.9657912254333496, loss: 0.0814601480960846, params_num: 22400
2025-12-03 10:51:49 | INFO | root | Purified data 1, mse:0.13797864317893982
2025-12-03 10:51:49 | INFO | root | 
2025-12-03 10:51:49 | INFO | root | End purification for resolution 8*8, loss=0.03640235587954521
2025-12-03 10:51:49 | INFO | root | End purification for resolution 16*16, loss=0.11044712364673615
2025-12-03 10:51:50 | INFO | root | End purification for resolution 32*32, loss=0.20846623182296753
2025-12-03 10:51:51 | INFO | root | End purification for resolution 64*64, loss=0.11414642632007599
2025-12-03 10:51:51 | INFO | root | Training time: 1.9658424854278564, loss: 0.11414642632007599, params_num: 22400
2025-12-03 10:51:51 | INFO | root | Purified data 2, mse:0.19311057031154633
2025-12-03 10:51:51 | INFO | root | 
2025-12-03 10:51:51 | INFO | root | End purification for resolution 8*8, loss=0.08803705126047134
2025-12-03 10:51:51 | INFO | root | End purification for resolution 16*16, loss=0.20068204402923584
2025-12-03 10:51:52 | INFO | root | End purification for resolution 32*32, loss=0.23816335201263428
2025-12-03 10:51:53 | INFO | root | End purification for resolution 64*64, loss=0.07890963554382324
2025-12-03 10:51:53 | INFO | root | Training time: 2.07120680809021, loss: 0.07890963554382324, params_num: 22400
2025-12-03 10:51:53 | INFO | root | Purified data 3, mse:0.13297805190086365
2025-12-03 10:51:53 | INFO | root | 
2025-12-03 10:51:53 | INFO | root | End purification for resolution 8*8, loss=0.05268799513578415
2025-12-03 10:51:53 | INFO | root | End purification for resolution 16*16, loss=0.1416756510734558
2025-12-03 10:51:54 | INFO | root | End purification for resolution 32*32, loss=0.22089946269989014
2025-12-03 10:51:55 | INFO | root | End purification for resolution 64*64, loss=0.09215721487998962
2025-12-03 10:51:55 | INFO | root | Training time: 2.0403482913970947, loss: 0.09215721487998962, params_num: 22400
2025-12-03 10:51:55 | INFO | root | Purified data 4, mse:0.1561499685049057
2025-12-03 10:51:55 | INFO | root | 
2025-12-03 10:51:55 | INFO | root | End purification for resolution 8*8, loss=0.08010800182819366
2025-12-03 10:51:55 | INFO | root | End purification for resolution 16*16, loss=0.16016092896461487
2025-12-03 10:51:56 | INFO | root | End purification for resolution 32*32, loss=0.2206820547580719
2025-12-03 10:51:57 | INFO | root | End purification for resolution 64*64, loss=0.08777682483196259
2025-12-03 10:51:57 | INFO | root | Training time: 2.066495418548584, loss: 0.08777682483196259, params_num: 22400
2025-12-03 10:51:57 | INFO | root | Purified data 5, mse:0.14871364831924438
2025-12-03 10:51:57 | INFO | root | 
2025-12-03 10:51:57 | INFO | root | End purification for resolution 8*8, loss=0.058506645262241364
2025-12-03 10:51:58 | INFO | root | End purification for resolution 16*16, loss=0.1440722793340683
2025-12-03 10:51:58 | INFO | root | End purification for resolution 32*32, loss=0.21475547552108765
2025-12-03 10:51:59 | INFO | root | End purification for resolution 64*64, loss=0.0929017961025238
2025-12-03 10:51:59 | INFO | root | Training time: 2.002718925476074, loss: 0.0929017961025238, params_num: 22400
2025-12-03 10:51:59 | INFO | root | Purified data 6, mse:0.15652795135974884
2025-12-03 10:51:59 | INFO | root | 
2025-12-03 10:51:59 | INFO | root | End purification for resolution 8*8, loss=0.06400812417268753
2025-12-03 10:52:00 | INFO | root | End purification for resolution 16*16, loss=0.1497199684381485
2025-12-03 10:52:00 | INFO | root | End purification for resolution 32*32, loss=0.2091212272644043
2025-12-03 10:52:01 | INFO | root | End purification for resolution 64*64, loss=0.09450247138738632
2025-12-03 10:52:01 | INFO | root | Training time: 1.9797351360321045, loss: 0.09450247138738632, params_num: 22400
2025-12-03 10:52:01 | INFO | root | Purified data 7, mse:0.15964506566524506
2025-12-03 10:52:01 | INFO | root | 
2025-12-03 10:52:01 | INFO | root | End purification for resolution 8*8, loss=0.06911616027355194
2025-12-03 10:52:02 | INFO | root | End purification for resolution 16*16, loss=0.14968731999397278
2025-12-03 10:52:02 | INFO | root | End purification for resolution 32*32, loss=0.20990942418575287
2025-12-03 10:52:03 | INFO | root | End purification for resolution 64*64, loss=0.09553426504135132
2025-12-03 10:52:03 | INFO | root | Training time: 2.042297840118408, loss: 0.09553426504135132, params_num: 22400
2025-12-03 10:52:03 | INFO | root | Purified data 8, mse:0.16124673187732697
