2025-12-09 16:30:30 | INFO | root | Purifying autoattack on thubenchmark with eegnet
2025-12-09 16:30:30 | INFO | root | Namespace(dataset='thubenchmark', model='eegnet', fold=0, attack='autoattack', batch_size=32, seed=42, gpu_id=0, config='PTR_8_2048_rank10_fft_c-1.yaml', sample_num=512)
2025-12-09 16:30:30 | INFO | torcheeg | 🔍 | Detected cached processing results, reading cache from ./cached_data/thubenchmark_EA.
2025-12-09 16:30:31 | INFO | root | Dataset: thubenchmark
2025-12-09 16:30:31 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/kfold_split.
2025-12-09 16:30:31 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-12-09 16:30:31 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/test_val_split_0.
2025-12-09 16:30:31 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-12-09 16:30:31 | INFO | root | Adversarial and clean data loaded, ad_data shape: torch.Size([512, 1, 64, 1500]), clean_data shape: torch.Size([512, 1, 64, 1500])
2025-12-09 16:30:31 | INFO | root | 
2025-12-09 16:30:31 | INFO | root | Model: eegnet, fold: 0
2025-12-09 16:30:31 | INFO | root | Adversarial data accuracy: 0.177734375, loss: 5.099132791161537
2025-12-09 16:30:31 | INFO | root | Clean data accuracy: 0.927734375, loss: 0.21533196786185727
2025-12-09 16:30:32 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([64, 1024, 1])
2025-12-09 16:30:32 | INFO | root | End purification for resolution 8*8, loss=0.09590639919042587
2025-12-09 16:30:32 | INFO | root | End purification for resolution 16*16, loss=0.45070183277130127
2025-12-09 16:30:32 | INFO | root | End purification for resolution 32*32, loss=1.0955462455749512
2025-12-09 16:30:33 | INFO | root | End purification for resolution 64*64, loss=1.4143190383911133
2025-12-09 16:30:33 | INFO | root | Training time: 1.4850616455078125, loss: 1.4143190383911133, params_num: 4000
2025-12-09 16:30:33 | INFO | root | Purified data 0, shape: torch.Size([1, 64, 1500]), mse:0.6591654419898987
2025-12-09 16:30:33 | INFO | root | 
2025-12-09 16:30:33 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([64, 1024, 1])
2025-12-09 16:30:33 | INFO | root | End purification for resolution 8*8, loss=0.15866968035697937
2025-12-09 16:30:33 | INFO | root | End purification for resolution 16*16, loss=0.5161903500556946
2025-12-09 16:30:34 | INFO | root | End purification for resolution 32*32, loss=1.1143198013305664
2025-12-09 16:30:35 | INFO | root | End purification for resolution 64*64, loss=1.2677876949310303
2025-12-09 16:30:35 | INFO | root | Training time: 1.4812054634094238, loss: 1.2677876949310303, params_num: 4000
2025-12-09 16:30:35 | INFO | root | Purified data 1, shape: torch.Size([1, 64, 1500]), mse:0.5908735990524292
2025-12-09 16:30:35 | INFO | root | 
2025-12-09 16:30:35 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([64, 1024, 1])
2025-12-09 16:30:35 | INFO | root | End purification for resolution 8*8, loss=0.047435127198696136
2025-12-09 16:30:35 | INFO | root | End purification for resolution 16*16, loss=0.28664425015449524
2025-12-09 16:30:35 | INFO | root | End purification for resolution 32*32, loss=0.8847249746322632
2025-12-09 16:30:36 | INFO | root | End purification for resolution 64*64, loss=1.547250509262085
2025-12-09 16:30:36 | INFO | root | Training time: 1.4779367446899414, loss: 1.547250509262085, params_num: 4000
2025-12-09 16:30:36 | INFO | root | Purified data 2, shape: torch.Size([1, 64, 1500]), mse:0.7211319804191589
2025-12-09 16:30:36 | INFO | root | 
2025-12-09 16:30:36 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([64, 1024, 1])
2025-12-09 16:30:36 | INFO | root | End purification for resolution 8*8, loss=0.15440702438354492
2025-12-09 16:30:36 | INFO | root | End purification for resolution 16*16, loss=0.6077442169189453
2025-12-09 16:30:37 | INFO | root | End purification for resolution 32*32, loss=1.212592363357544
2025-12-09 16:30:38 | INFO | root | End purification for resolution 64*64, loss=1.25327730178833
2025-12-09 16:30:38 | INFO | root | Training time: 1.4827008247375488, loss: 1.25327730178833, params_num: 4000
2025-12-09 16:30:38 | INFO | root | Purified data 3, shape: torch.Size([1, 64, 1500]), mse:0.5840867757797241
2025-12-09 16:30:38 | INFO | root | 
2025-12-09 16:30:38 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([64, 1024, 1])
2025-12-09 16:30:38 | INFO | root | End purification for resolution 8*8, loss=0.08548237383365631
2025-12-09 16:30:38 | INFO | root | End purification for resolution 16*16, loss=0.40587499737739563
2025-12-09 16:30:38 | INFO | root | End purification for resolution 32*32, loss=1.0560582876205444
2025-12-09 16:30:39 | INFO | root | End purification for resolution 64*64, loss=1.423868179321289
2025-12-09 16:30:39 | INFO | root | Training time: 1.529712200164795, loss: 1.423868179321289, params_num: 4000
2025-12-09 16:30:39 | INFO | root | Purified data 4, shape: torch.Size([1, 64, 1500]), mse:0.6635957956314087
2025-12-09 16:30:39 | INFO | root | 
2025-12-09 16:30:39 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([64, 1024, 1])
2025-12-09 16:30:39 | INFO | root | End purification for resolution 8*8, loss=0.13536396622657776
2025-12-09 16:30:39 | INFO | root | End purification for resolution 16*16, loss=0.4839017391204834
2025-12-09 16:30:40 | INFO | root | End purification for resolution 32*32, loss=1.1229972839355469
2025-12-09 16:30:41 | INFO | root | End purification for resolution 64*64, loss=1.3145859241485596
2025-12-09 16:30:41 | INFO | root | Training time: 1.637251377105713, loss: 1.3145859241485596, params_num: 4000
2025-12-09 16:30:41 | INFO | root | Purified data 5, shape: torch.Size([1, 64, 1500]), mse:0.6126554608345032
2025-12-09 16:30:41 | INFO | root | 
2025-12-09 16:30:41 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([64, 1024, 1])
2025-12-09 16:30:41 | INFO | root | End purification for resolution 8*8, loss=0.09225037693977356
2025-12-09 16:30:41 | INFO | root | End purification for resolution 16*16, loss=0.43574151396751404
2025-12-09 16:30:42 | INFO | root | End purification for resolution 32*32, loss=1.0398578643798828
2025-12-09 16:30:42 | INFO | root | End purification for resolution 64*64, loss=1.3702672719955444
2025-12-09 16:30:42 | INFO | root | Training time: 1.6412792205810547, loss: 1.3702672719955444, params_num: 4000
2025-12-09 16:30:42 | INFO | root | Purified data 6, shape: torch.Size([1, 64, 1500]), mse:0.6386135220527649
2025-12-09 16:30:42 | INFO | root | 
2025-12-09 16:30:42 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([64, 1024, 1])
2025-12-09 16:30:43 | INFO | root | End purification for resolution 8*8, loss=0.1325627565383911
2025-12-09 16:30:43 | INFO | root | End purification for resolution 16*16, loss=0.43111103773117065
2025-12-09 16:30:43 | INFO | root | End purification for resolution 32*32, loss=1.0444813966751099
2025-12-09 16:30:44 | INFO | root | End purification for resolution 64*64, loss=1.3816204071044922
2025-12-09 16:30:44 | INFO | root | Training time: 1.575244426727295, loss: 1.3816204071044922, params_num: 4000
2025-12-09 16:30:44 | INFO | root | Purified data 7, shape: torch.Size([1, 64, 1500]), mse:0.6439622640609741
2025-12-09 16:30:44 | INFO | root | 
2025-12-09 16:30:44 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([64, 1024, 1])
2025-12-09 16:30:44 | INFO | root | End purification for resolution 8*8, loss=0.1341954469680786
2025-12-09 16:30:44 | INFO | root | End purification for resolution 16*16, loss=0.44757553935050964
2025-12-09 16:30:45 | INFO | root | End purification for resolution 32*32, loss=1.0445098876953125
2025-12-09 16:30:46 | INFO | root | End purification for resolution 64*64, loss=1.3797637224197388
2025-12-09 16:30:46 | INFO | root | Training time: 1.5376288890838623, loss: 1.3797637224197388, params_num: 4000
2025-12-09 16:30:46 | INFO | root | Purified data 8, shape: torch.Size([1, 64, 1500]), mse:0.6430631279945374
2025-12-09 16:30:46 | INFO | root | 
2025-12-09 16:30:46 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([64, 1024, 1])
2025-12-09 16:30:46 | INFO | root | End purification for resolution 8*8, loss=0.04621421545743942
2025-12-09 16:30:46 | INFO | root | End purification for resolution 16*16, loss=0.2451479732990265
2025-12-09 16:30:46 | INFO | root | End purification for resolution 32*32, loss=0.8120323419570923
2025-12-09 16:30:47 | INFO | root | End purification for resolution 64*64, loss=1.5266832113265991
2025-12-09 16:30:47 | INFO | root | Training time: 1.4876422882080078, loss: 1.5266832113265991, params_num: 4000
2025-12-09 16:30:47 | INFO | root | Purified data 9, shape: torch.Size([1, 64, 1500]), mse:0.7115040421485901
2025-12-09 16:30:47 | INFO | root | 
2025-12-09 16:30:47 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([64, 1024, 1])
2025-12-09 16:30:47 | INFO | root | End purification for resolution 8*8, loss=0.08218219876289368
2025-12-09 16:30:47 | INFO | root | End purification for resolution 16*16, loss=0.3722965717315674
2025-12-09 16:30:48 | INFO | root | End purification for resolution 32*32, loss=0.9645318984985352
2025-12-09 16:30:49 | INFO | root | End purification for resolution 64*64, loss=1.4010703563690186
2025-12-09 16:30:49 | INFO | root | Training time: 1.515688419342041, loss: 1.4010703563690186, params_num: 4000
2025-12-09 16:30:49 | INFO | root | Purified data 10, shape: torch.Size([1, 64, 1500]), mse:0.6529754400253296
2025-12-09 16:30:49 | INFO | root | 
2025-12-09 16:30:49 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([64, 1024, 1])
2025-12-09 16:30:49 | INFO | root | End purification for resolution 8*8, loss=0.09537484496831894
2025-12-09 16:30:49 | INFO | root | End purification for resolution 16*16, loss=0.3860724866390228
2025-12-09 16:30:49 | INFO | root | End purification for resolution 32*32, loss=1.0178958177566528
2025-12-09 16:30:50 | INFO | root | End purification for resolution 64*64, loss=1.4322220087051392
2025-12-09 16:30:50 | INFO | root | Training time: 1.6463730335235596, loss: 1.4322220087051392, params_num: 4000
2025-12-09 16:30:50 | INFO | root | Purified data 11, shape: torch.Size([1, 64, 1500]), mse:0.6675133109092712
2025-12-09 16:30:50 | INFO | root | 
2025-12-09 16:30:50 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([64, 1024, 1])
2025-12-09 16:30:50 | INFO | root | End purification for resolution 8*8, loss=0.06840018182992935
2025-12-09 16:30:51 | INFO | root | End purification for resolution 16*16, loss=0.366324782371521
2025-12-09 16:30:51 | INFO | root | End purification for resolution 32*32, loss=1.020714521408081
2025-12-09 16:30:52 | INFO | root | End purification for resolution 64*64, loss=1.4587898254394531
2025-12-09 16:30:52 | INFO | root | Training time: 1.6443257331848145, loss: 1.4587898254394531, params_num: 4000
2025-12-09 16:30:52 | INFO | root | Purified data 12, shape: torch.Size([1, 64, 1500]), mse:0.6799050569534302
