2025-12-09 22:33:56 | INFO | root | Purifying autoattack on thubenchmark with eegnet
2025-12-09 22:33:56 | INFO | root | Namespace(dataset='thubenchmark', model='eegnet', fold=0, attack='autoattack', batch_size=32, seed=42, gpu_id=0, config='PTR_8_2048_rank10_fft_c2_TV0.05.yaml', sample_num=512)
2025-12-09 22:33:56 | INFO | torcheeg | 🔍 | Detected cached processing results, reading cache from ./cached_data/thubenchmark_EA.
2025-12-09 22:33:57 | INFO | root | Dataset: thubenchmark
2025-12-09 22:33:57 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/kfold_split.
2025-12-09 22:33:57 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-12-09 22:33:57 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/test_val_split_0.
2025-12-09 22:33:57 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-12-09 22:33:57 | INFO | root | Adversarial and clean data loaded, ad_data shape: torch.Size([512, 1, 64, 1500]), clean_data shape: torch.Size([512, 1, 64, 1500])
2025-12-09 22:33:57 | INFO | root | 
2025-12-09 22:33:57 | INFO | root | Model: eegnet, fold: 0
2025-12-09 22:33:58 | INFO | root | Adversarial data accuracy: 0.177734375, loss: 5.099132791161537
2025-12-09 22:33:58 | INFO | root | Clean data accuracy: 0.927734375, loss: 0.21533196786185727
2025-12-09 22:33:58 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([64, 8192, 1])
2025-12-09 22:33:58 | INFO | root | End purification for resolution 8*8, loss=0.005518664140254259
2025-12-09 22:33:58 | INFO | root | End purification for resolution 16*16, loss=0.008147909305989742
2025-12-09 22:33:59 | INFO | root | End purification for resolution 32*32, loss=0.00534012820571661
2025-12-09 22:34:00 | INFO | root | End purification for resolution 64*64, loss=0.0075377533212304115
2025-12-09 22:34:00 | INFO | root | Training time: 2.5427799224853516, loss: 0.005869666114449501, params_num: 15200
2025-12-09 22:34:00 | INFO | root | Purified data 0, shape: torch.Size([1, 64, 1500]), mse:0.16722731292247772
2025-12-09 22:34:00 | INFO | root | 
2025-12-09 22:34:00 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([64, 8192, 1])
2025-12-09 22:34:01 | INFO | root | End purification for resolution 8*8, loss=0.007151051890105009
2025-12-09 22:34:01 | INFO | root | End purification for resolution 16*16, loss=0.007711036130785942
2025-12-09 22:34:02 | INFO | root | End purification for resolution 32*32, loss=0.004857764579355717
2025-12-09 22:34:03 | INFO | root | End purification for resolution 64*64, loss=0.007198222912847996
2025-12-09 22:34:03 | INFO | root | Training time: 2.4952926635742188, loss: 0.005405495408922434, params_num: 15200
2025-12-09 22:34:03 | INFO | root | Purified data 1, shape: torch.Size([1, 64, 1500]), mse:0.15446361899375916
2025-12-09 22:34:03 | INFO | root | 
2025-12-09 22:34:03 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([64, 8192, 1])
2025-12-09 22:34:03 | INFO | root | End purification for resolution 8*8, loss=0.004296533763408661
2025-12-09 22:34:03 | INFO | root | End purification for resolution 16*16, loss=0.006853992119431496
2025-12-09 22:34:04 | INFO | root | End purification for resolution 32*32, loss=0.005627078004181385
2025-12-09 22:34:05 | INFO | root | End purification for resolution 64*64, loss=0.00952816940844059
2025-12-09 22:34:05 | INFO | root | Training time: 2.394970655441284, loss: 0.007580254692584276, params_num: 15200
2025-12-09 22:34:05 | INFO | root | Purified data 2, shape: torch.Size([1, 64, 1500]), mse:0.2155090570449829
2025-12-09 22:34:05 | INFO | root | 
2025-12-09 22:34:05 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([64, 8192, 1])
2025-12-09 22:34:06 | INFO | root | End purification for resolution 8*8, loss=0.007817845791578293
2025-12-09 22:34:06 | INFO | root | End purification for resolution 16*16, loss=0.00995317380875349
2025-12-09 22:34:06 | INFO | root | End purification for resolution 32*32, loss=0.0046668206341564655
2025-12-09 22:34:08 | INFO | root | End purification for resolution 64*64, loss=0.0061515094712376595
2025-12-09 22:34:08 | INFO | root | Training time: 2.4894890785217285, loss: 0.0045162104070186615, params_num: 15200
2025-12-09 22:34:08 | INFO | root | Purified data 3, shape: torch.Size([1, 64, 1500]), mse:0.12776434421539307
2025-12-09 22:34:08 | INFO | root | 
2025-12-09 22:34:08 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([64, 8192, 1])
2025-12-09 22:34:08 | INFO | root | End purification for resolution 8*8, loss=0.0051108431071043015
2025-12-09 22:34:08 | INFO | root | End purification for resolution 16*16, loss=0.007642401847988367
2025-12-09 22:34:09 | INFO | root | End purification for resolution 32*32, loss=0.004986283835023642
2025-12-09 22:34:10 | INFO | root | End purification for resolution 64*64, loss=0.007879785262048244
2025-12-09 22:34:10 | INFO | root | Training time: 2.5207574367523193, loss: 0.006066771224141121, params_num: 15200
2025-12-09 22:34:10 | INFO | root | Purified data 4, shape: torch.Size([1, 64, 1500]), mse:0.17287306487560272
2025-12-09 22:34:10 | INFO | root | 
2025-12-09 22:34:10 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([64, 8192, 1])
2025-12-09 22:34:11 | INFO | root | End purification for resolution 8*8, loss=0.0071383374743163586
2025-12-09 22:34:11 | INFO | root | End purification for resolution 16*16, loss=0.007996070198714733
2025-12-09 22:34:12 | INFO | root | End purification for resolution 32*32, loss=0.005548207554966211
2025-12-09 22:34:13 | INFO | root | End purification for resolution 64*64, loss=0.007566372863948345
2025-12-09 22:34:13 | INFO | root | Training time: 2.501786947250366, loss: 0.005848755594342947, params_num: 15200
2025-12-09 22:34:13 | INFO | root | Purified data 5, shape: torch.Size([1, 64, 1500]), mse:0.1670086830854416
2025-12-09 22:34:13 | INFO | root | 
2025-12-09 22:34:13 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([64, 8192, 1])
2025-12-09 22:34:13 | INFO | root | End purification for resolution 8*8, loss=0.005127068143337965
2025-12-09 22:34:13 | INFO | root | End purification for resolution 16*16, loss=0.007597088813781738
2025-12-09 22:34:14 | INFO | root | End purification for resolution 32*32, loss=0.004845840390771627
2025-12-09 22:34:15 | INFO | root | End purification for resolution 64*64, loss=0.007851904258131981
2025-12-09 22:34:15 | INFO | root | Training time: 2.5124082565307617, loss: 0.006010447628796101, params_num: 15200
2025-12-09 22:34:15 | INFO | root | Purified data 6, shape: torch.Size([1, 64, 1500]), mse:0.1714581847190857
2025-12-09 22:34:15 | INFO | root | 
2025-12-09 22:34:15 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([64, 8192, 1])
2025-12-09 22:34:16 | INFO | root | End purification for resolution 8*8, loss=0.006051681470125914
2025-12-09 22:34:16 | INFO | root | End purification for resolution 16*16, loss=0.0074678510427474976
2025-12-09 22:34:17 | INFO | root | End purification for resolution 32*32, loss=0.0050609540194272995
2025-12-09 22:34:18 | INFO | root | End purification for resolution 64*64, loss=0.008215627633035183
2025-12-09 22:34:18 | INFO | root | Training time: 2.3579306602478027, loss: 0.006392011418938637, params_num: 15200
2025-12-09 22:34:18 | INFO | root | Purified data 7, shape: torch.Size([1, 64, 1500]), mse:0.18245328962802887
2025-12-09 22:34:18 | INFO | root | 
2025-12-09 22:34:18 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([64, 8192, 1])
2025-12-09 22:34:18 | INFO | root | End purification for resolution 8*8, loss=0.006210214924067259
2025-12-09 22:34:18 | INFO | root | End purification for resolution 16*16, loss=0.0073604341596364975
2025-12-09 22:34:19 | INFO | root | End purification for resolution 32*32, loss=0.005180269479751587
2025-12-09 22:34:20 | INFO | root | End purification for resolution 64*64, loss=0.0079837366938591
2025-12-09 22:34:20 | INFO | root | Training time: 2.3361737728118896, loss: 0.006173522211611271, params_num: 15200
2025-12-09 22:34:20 | INFO | root | Purified data 8, shape: torch.Size([1, 64, 1500]), mse:0.17576251924037933
2025-12-09 22:34:20 | INFO | root | 
2025-12-09 22:34:20 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([64, 8192, 1])
2025-12-09 22:34:20 | INFO | root | End purification for resolution 8*8, loss=0.0033396496437489986
2025-12-09 22:34:21 | INFO | root | End purification for resolution 16*16, loss=0.005552254617214203
2025-12-09 22:34:21 | INFO | root | End purification for resolution 32*32, loss=0.004582712892442942
2025-12-09 22:34:22 | INFO | root | End purification for resolution 64*64, loss=0.00961355585604906
2025-12-09 22:34:22 | INFO | root | Training time: 2.329737663269043, loss: 0.007400380913168192, params_num: 15200
2025-12-09 22:34:22 | INFO | root | Purified data 9, shape: torch.Size([1, 64, 1500]), mse:0.21170540153980255
2025-12-09 22:34:22 | INFO | root | 
2025-12-09 22:34:22 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([64, 8192, 1])
2025-12-09 22:34:23 | INFO | root | End purification for resolution 8*8, loss=0.004700114019215107
2025-12-09 22:34:23 | INFO | root | End purification for resolution 16*16, loss=0.0065544224344193935
2025-12-09 22:34:24 | INFO | root | End purification for resolution 32*32, loss=0.005419394001364708
2025-12-09 22:34:25 | INFO | root | End purification for resolution 64*64, loss=0.008512312546372414
2025-12-09 22:34:25 | INFO | root | Training time: 2.376803398132324, loss: 0.006655329838395119, params_num: 15200
2025-12-09 22:34:25 | INFO | root | Purified data 10, shape: torch.Size([1, 64, 1500]), mse:0.19022493064403534
2025-12-09 22:34:25 | INFO | root | 
2025-12-09 22:34:25 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([64, 8192, 1])
2025-12-09 22:34:25 | INFO | root | End purification for resolution 8*8, loss=0.0047926041297614574
2025-12-09 22:34:25 | INFO | root | End purification for resolution 16*16, loss=0.006718038115650415
2025-12-09 22:34:26 | INFO | root | End purification for resolution 32*32, loss=0.005143667105585337
2025-12-09 22:34:27 | INFO | root | End purification for resolution 64*64, loss=0.008253753185272217
2025-12-09 22:34:27 | INFO | root | Training time: 2.3990094661712646, loss: 0.006371889263391495, params_num: 15200
2025-12-09 22:34:27 | INFO | root | Purified data 11, shape: torch.Size([1, 64, 1500]), mse:0.1821577101945877
2025-12-09 22:34:27 | INFO | root | 
2025-12-09 22:34:27 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([64, 8192, 1])
2025-12-09 22:34:28 | INFO | root | End purification for resolution 8*8, loss=0.004676419775933027
2025-12-09 22:34:28 | INFO | root | End purification for resolution 16*16, loss=0.007446567993611097
2025-12-09 22:34:28 | INFO | root | End purification for resolution 32*32, loss=0.00479993037879467
2025-12-09 22:34:30 | INFO | root | End purification for resolution 64*64, loss=0.007939116097986698
2025-12-09 22:34:30 | INFO | root | Training time: 2.329275131225586, loss: 0.006135380826890469, params_num: 15200
2025-12-09 22:34:30 | INFO | root | Purified data 12, shape: torch.Size([1, 64, 1500]), mse:0.17481553554534912
2025-12-09 22:34:30 | INFO | root | 
2025-12-09 22:34:30 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([64, 8192, 1])
2025-12-09 22:34:30 | INFO | root | End purification for resolution 8*8, loss=0.0034285925794392824
