2025-12-15 21:29:35 | INFO | root | Purifying autoattack on thubenchmark with eegnet
2025-12-15 21:29:35 | INFO | root | Namespace(dataset='thubenchmark', model='eegnet', fold=0, attack='autoattack', batch_size=32, seed=42, gpu_id=0, config='PTR_8_2048_rank10_fft_stage3.yaml', sample_num=512, visualize=False)
2025-12-15 21:29:35 | INFO | torcheeg | 🔍 | Detected cached processing results, reading cache from ./cached_data/thubenchmark_EA.
2025-12-15 21:29:36 | INFO | root | Dataset: thubenchmark
2025-12-15 21:29:36 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/kfold_split.
2025-12-15 21:29:36 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-12-15 21:29:36 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/test_val_split_0.
2025-12-15 21:29:36 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-12-15 21:29:36 | INFO | root | Adversarial and clean data loaded, ad_data shape: torch.Size([512, 1, 64, 1500]), clean_data shape: torch.Size([512, 1, 64, 1500])
2025-12-15 21:29:36 | INFO | root | 
2025-12-15 21:29:36 | INFO | root | Model: eegnet, fold: 0
2025-12-15 21:29:37 | INFO | root | Adversarial data accuracy: 0.177734375, loss: 5.099132791161537
2025-12-15 21:29:37 | INFO | root | Clean data accuracy: 0.927734375, loss: 0.21533196786185727
2025-12-15 21:29:37 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([64, 2048, 1])
2025-12-15 21:29:37 | INFO | root | End purification for resolution 16*16, loss=0.045572105795145035
2025-12-15 21:29:38 | INFO | root | End purification for resolution 32*32, loss=0.22838997840881348
2025-12-15 21:29:39 | INFO | root | End purification for resolution 64*64, loss=0.26356959342956543
2025-12-15 21:29:39 | INFO | root | Training time: 2.4377236366271973, loss: 0.26356959342956543, params_num: 5600
2025-12-15 21:29:39 | INFO | root | Purified data 0, shape: torch.Size([1, 64, 1500]), mse:0.48971572518348694
2025-12-15 21:29:39 | INFO | root | 
2025-12-15 21:29:39 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([64, 2048, 1])
2025-12-15 21:29:40 | INFO | root | End purification for resolution 16*16, loss=0.04235271364450455
2025-12-15 21:29:40 | INFO | root | End purification for resolution 32*32, loss=0.19731074571609497
2025-12-15 21:29:42 | INFO | root | End purification for resolution 64*64, loss=0.23021170496940613
2025-12-15 21:29:42 | INFO | root | Training time: 2.416264772415161, loss: 0.23021170496940613, params_num: 5600
2025-12-15 21:29:42 | INFO | root | Purified data 1, shape: torch.Size([1, 64, 1500]), mse:0.42739787697792053
2025-12-15 21:29:42 | INFO | root | 
2025-12-15 21:29:42 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([64, 2048, 1])
2025-12-15 21:29:42 | INFO | root | End purification for resolution 16*16, loss=0.03802427649497986
2025-12-15 21:29:43 | INFO | root | End purification for resolution 32*32, loss=0.26296430826187134
2025-12-15 21:29:44 | INFO | root | End purification for resolution 64*64, loss=0.30940306186676025
2025-12-15 21:29:44 | INFO | root | Training time: 2.4487996101379395, loss: 0.30940306186676025, params_num: 5600
2025-12-15 21:29:44 | INFO | root | Purified data 2, shape: torch.Size([1, 64, 1500]), mse:0.5746130347251892
2025-12-15 21:29:44 | INFO | root | 
2025-12-15 21:29:44 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([64, 2048, 1])
2025-12-15 21:29:45 | INFO | root | End purification for resolution 16*16, loss=0.03793439269065857
2025-12-15 21:29:45 | INFO | root | End purification for resolution 32*32, loss=0.18576732277870178
2025-12-15 21:29:47 | INFO | root | End purification for resolution 64*64, loss=0.21250489354133606
2025-12-15 21:29:47 | INFO | root | Training time: 2.507723808288574, loss: 0.21250489354133606, params_num: 5600
2025-12-15 21:29:47 | INFO | root | Purified data 3, shape: torch.Size([1, 64, 1500]), mse:0.3940589129924774
2025-12-15 21:29:47 | INFO | root | 
2025-12-15 21:29:47 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([64, 2048, 1])
2025-12-15 21:29:47 | INFO | root | End purification for resolution 16*16, loss=0.03874797001481056
2025-12-15 21:29:48 | INFO | root | End purification for resolution 32*32, loss=0.23223689198493958
2025-12-15 21:29:49 | INFO | root | End purification for resolution 64*64, loss=0.2738065719604492
2025-12-15 21:29:49 | INFO | root | Training time: 2.4383575916290283, loss: 0.2738065719604492, params_num: 5600
