2025-12-16 20:44:12 | INFO | root | Purifying autoattack on thubenchmark with eegnet
2025-12-16 20:44:12 | INFO | root | Namespace(dataset='thubenchmark', model='eegnet', fold=0, attack='autoattack', batch_size=32, seed=42, gpu_id=0, config='PTRtfs_8_2048_rank10_c1.yaml', sample_num=512, visualize=False)
2025-12-16 20:44:12 | INFO | torcheeg | 🔍 | Detected cached processing results, reading cache from ./cached_data/thubenchmark_EA.
2025-12-16 20:44:13 | INFO | root | Dataset: thubenchmark
2025-12-16 20:44:13 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/kfold_split.
2025-12-16 20:44:13 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-12-16 20:44:13 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/test_val_split_0.
2025-12-16 20:44:13 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-12-16 20:44:14 | INFO | root | Adversarial and clean data loaded, ad_data shape: torch.Size([512, 1, 64, 1500]), clean_data shape: torch.Size([512, 1, 64, 1500])
2025-12-16 20:44:14 | INFO | root | 
2025-12-16 20:44:14 | INFO | root | Model: eegnet, fold: 0
2025-12-16 20:44:14 | INFO | root | Adversarial data accuracy: 0.177734375, loss: 5.099132791161537
2025-12-16 20:44:14 | INFO | root | Clean data accuracy: 0.927734375, loss: 0.21533196786185727
2025-12-16 20:44:14 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([2, 64, 64, 64])
2025-12-16 20:44:14 | INFO | root | End purification for resolution 8*8, loss=0.0014746405649930239
2025-12-16 20:44:15 | INFO | root | End purification for resolution 16*16, loss=0.0002376427873969078
2025-12-16 20:44:15 | INFO | root | End purification for resolution 32*32, loss=0.005232567433267832
2025-12-16 20:44:17 | INFO | root | End purification for resolution 64*64, loss=0.04990531504154205
2025-12-16 20:44:17 | INFO | root | Training time: 2.879286289215088, loss: 0.04990531504154205, params_num: 5000
2025-12-16 20:44:17 | INFO | root | Purified data 0, shape: torch.Size([1, 64, 1500]), mse:0.6808239221572876, compression rate: 0.052083333333333336, 19.2x
2025-12-16 20:44:17 | INFO | root | 
2025-12-16 20:44:17 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([2, 64, 64, 64])
2025-12-16 20:44:17 | INFO | root | End purification for resolution 8*8, loss=0.001221715472638607
2025-12-16 20:44:18 | INFO | root | End purification for resolution 16*16, loss=0.00018453231314197183
2025-12-16 20:44:18 | INFO | root | End purification for resolution 32*32, loss=0.004541030619293451
2025-12-16 20:44:20 | INFO | root | End purification for resolution 64*64, loss=0.04644393175840378
2025-12-16 20:44:20 | INFO | root | Training time: 2.8629589080810547, loss: 0.04644393175840378, params_num: 5000
2025-12-16 20:44:20 | INFO | root | Purified data 1, shape: torch.Size([1, 64, 1500]), mse:0.62228924036026, compression rate: 0.052083333333333336, 19.2x
2025-12-16 20:44:20 | INFO | root | 
2025-12-16 20:44:20 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([2, 64, 64, 64])
2025-12-16 20:44:20 | INFO | root | End purification for resolution 8*8, loss=0.001686248928308487
2025-12-16 20:44:21 | INFO | root | End purification for resolution 16*16, loss=0.0002800726506393403
2025-12-16 20:44:21 | INFO | root | End purification for resolution 32*32, loss=0.004893593955785036
2025-12-16 20:44:23 | INFO | root | End purification for resolution 64*64, loss=0.053244784474372864
2025-12-16 20:44:23 | INFO | root | Training time: 2.9204392433166504, loss: 0.053244784474372864, params_num: 5000
2025-12-16 20:44:23 | INFO | root | Purified data 2, shape: torch.Size([1, 64, 1500]), mse:0.7278102040290833, compression rate: 0.052083333333333336, 19.2x
2025-12-16 20:44:23 | INFO | root | 
2025-12-16 20:44:23 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([2, 64, 64, 64])
2025-12-16 20:44:23 | INFO | root | End purification for resolution 8*8, loss=0.001944060204550624
2025-12-16 20:44:24 | INFO | root | End purification for resolution 16*16, loss=0.0003015128313563764
2025-12-16 20:44:24 | INFO | root | End purification for resolution 32*32, loss=0.004521514289081097
2025-12-16 20:44:26 | INFO | root | End purification for resolution 64*64, loss=0.04471476003527641
2025-12-16 20:44:26 | INFO | root | Training time: 2.9056460857391357, loss: 0.04471476003527641, params_num: 5000
2025-12-16 20:44:26 | INFO | root | Purified data 3, shape: torch.Size([1, 64, 1500]), mse:0.5983516573905945, compression rate: 0.052083333333333336, 19.2x
2025-12-16 20:44:26 | INFO | root | 
2025-12-16 20:44:26 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([2, 64, 64, 64])
2025-12-16 20:44:26 | INFO | root | End purification for resolution 8*8, loss=0.0013326368061825633
2025-12-16 20:44:26 | INFO | root | End purification for resolution 16*16, loss=0.00017049595771823078
2025-12-16 20:44:27 | INFO | root | End purification for resolution 32*32, loss=0.004867471754550934
2025-12-16 20:44:29 | INFO | root | End purification for resolution 64*64, loss=0.050815269351005554
2025-12-16 20:44:29 | INFO | root | Training time: 2.803361177444458, loss: 0.050815269351005554, params_num: 5000
