2025-12-17 02:27:54 | INFO | root | Purifying autoattack on thubenchmark with eegnet
2025-12-17 02:27:54 | INFO | root | Namespace(dataset='thubenchmark', model='eegnet', fold=0, attack='autoattack', batch_size=32, seed=42, gpu_id=0, config='PTR3d_8_2048_rank10_fft_c2.yaml', sample_num=512, visualize=False)
2025-12-17 02:27:54 | INFO | torcheeg | 🔍 | Detected cached processing results, reading cache from ./cached_data/thubenchmark_EA.
2025-12-17 02:27:55 | INFO | root | Dataset: thubenchmark
2025-12-17 02:27:55 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/kfold_split.
2025-12-17 02:27:55 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-12-17 02:27:55 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/test_val_split_0.
2025-12-17 02:27:55 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-12-17 02:27:56 | INFO | root | Adversarial and clean data loaded, ad_data shape: torch.Size([512, 1, 64, 1500]), clean_data shape: torch.Size([512, 1, 64, 1500])
2025-12-17 02:27:56 | INFO | root | 
2025-12-17 02:27:56 | INFO | root | Model: eegnet, fold: 0
2025-12-17 02:27:56 | INFO | root | Adversarial data accuracy: 0.177734375, loss: 5.099132791161537
2025-12-17 02:27:56 | INFO | root | Clean data accuracy: 0.927734375, loss: 0.21533196786185727
2025-12-17 02:27:56 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([10, 11, 8192])
2025-12-17 02:27:56 | INFO | root | End purification for resolution 1024*1024, loss=0.019101064652204514, iterations=256
2025-12-17 02:27:57 | INFO | root | End purification for resolution 2048*2048, loss=0.012367692776024342, iterations=256
2025-12-17 02:27:58 | INFO | root | End purification for resolution 4096*4096, loss=0.011336484923958778, iterations=512
2025-12-17 02:28:00 | INFO | root | End purification for resolution 8192*8192, loss=0.011133342981338501, iterations=1024
2025-12-17 02:28:00 | INFO | root | Training time: 4.0096800327301025, loss: 0.011133342981338501, params_num: 5051
2025-12-17 02:28:00 | INFO | root | Purified data 0, shape: torch.Size([1, 64, 1500]), mse:0.5584540367126465, compression rate: 0.05261458333333333, 19.006137398534943x
2025-12-17 02:28:00 | INFO | root | 
2025-12-17 02:28:00 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([10, 11, 8192])
2025-12-17 02:28:00 | INFO | root | End purification for resolution 1024*1024, loss=0.019448377192020416, iterations=256
2025-12-17 02:28:01 | INFO | root | End purification for resolution 2048*2048, loss=0.011612067930400372, iterations=256
2025-12-17 02:28:02 | INFO | root | End purification for resolution 4096*4096, loss=0.010536759160459042, iterations=512
2025-12-17 02:28:04 | INFO | root | End purification for resolution 8192*8192, loss=0.010205036960542202, iterations=1024
2025-12-17 02:28:04 | INFO | root | Training time: 4.013734340667725, loss: 0.010205036960542202, params_num: 5051
2025-12-17 02:28:04 | INFO | root | Purified data 1, shape: torch.Size([1, 64, 1500]), mse:0.5106265544891357, compression rate: 0.05261458333333333, 19.006137398534943x
2025-12-17 02:28:04 | INFO | root | 
2025-12-17 02:28:04 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([10, 11, 8192])
2025-12-17 02:28:04 | INFO | root | End purification for resolution 1024*1024, loss=0.019591199234128, iterations=256
2025-12-17 02:28:05 | INFO | root | End purification for resolution 2048*2048, loss=0.014188488945364952, iterations=256
2025-12-17 02:28:06 | INFO | root | End purification for resolution 4096*4096, loss=0.012689893133938313, iterations=512
2025-12-17 02:28:08 | INFO | root | End purification for resolution 8192*8192, loss=0.012523883022367954, iterations=1024
2025-12-17 02:28:08 | INFO | root | Training time: 3.989929676055908, loss: 0.012523883022367954, params_num: 5051
2025-12-17 02:28:08 | INFO | root | Purified data 2, shape: torch.Size([1, 64, 1500]), mse:0.6289532780647278, compression rate: 0.05261458333333333, 19.006137398534943x
2025-12-17 02:28:08 | INFO | root | 
2025-12-17 02:28:08 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([10, 11, 8192])
2025-12-17 02:28:08 | INFO | root | End purification for resolution 1024*1024, loss=0.01947368122637272, iterations=256
2025-12-17 02:28:09 | INFO | root | End purification for resolution 2048*2048, loss=0.010440223850309849, iterations=256
2025-12-17 02:28:10 | INFO | root | End purification for resolution 4096*4096, loss=0.009230507537722588, iterations=512
2025-12-17 02:28:12 | INFO | root | End purification for resolution 8192*8192, loss=0.008972620591521263, iterations=1024
2025-12-17 02:28:12 | INFO | root | Training time: 3.9814000129699707, loss: 0.008972620591521263, params_num: 5051
2025-12-17 02:28:12 | INFO | root | Purified data 3, shape: torch.Size([1, 64, 1500]), mse:0.44897225499153137, compression rate: 0.05261458333333333, 19.006137398534943x
2025-12-17 02:28:12 | INFO | root | 
2025-12-17 02:28:12 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([10, 11, 8192])
2025-12-17 02:28:13 | INFO | root | End purification for resolution 1024*1024, loss=0.019001111388206482, iterations=256
2025-12-17 02:28:13 | INFO | root | End purification for resolution 2048*2048, loss=0.012666708789765835, iterations=256
2025-12-17 02:28:14 | INFO | root | End purification for resolution 4096*4096, loss=0.011706850491464138, iterations=512
2025-12-17 02:28:16 | INFO | root | End purification for resolution 8192*8192, loss=0.011409902013838291, iterations=1024
2025-12-17 02:28:16 | INFO | root | Training time: 3.978454351425171, loss: 0.011409902013838291, params_num: 5051
