2025-12-17 09:41:20 | INFO | root | Purifying autoattack on thubenchmark with eegnet
2025-12-17 09:41:20 | INFO | root | Namespace(dataset='thubenchmark', model='eegnet', fold=0, attack='autoattack', batch_size=32, seed=42, gpu_id=0, config='PTR_8_2048_rank15_fft_c1.yaml', sample_num=512, visualize=False)
2025-12-17 09:41:20 | INFO | torcheeg | 🔍 | Detected cached processing results, reading cache from ./cached_data/thubenchmark_EA.
2025-12-17 09:41:21 | INFO | root | Dataset: thubenchmark
2025-12-17 09:41:21 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/kfold_split.
2025-12-17 09:41:21 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-12-17 09:41:21 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/test_val_split_0.
2025-12-17 09:41:21 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-12-17 09:41:22 | INFO | root | Adversarial and clean data loaded, ad_data shape: torch.Size([512, 1, 64, 1500]), clean_data shape: torch.Size([512, 1, 64, 1500])
2025-12-17 09:41:22 | INFO | root | 
2025-12-17 09:41:22 | INFO | root | Model: eegnet, fold: 0
2025-12-17 09:41:22 | INFO | root | Adversarial data accuracy: 0.177734375, loss: 5.099132791161537
2025-12-17 09:41:22 | INFO | root | Clean data accuracy: 0.927734375, loss: 0.21533196786185727
2025-12-17 09:41:22 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([64, 4096, 1])
2025-12-17 09:41:23 | INFO | root | End purification for resolution 8*8, loss=0.0037180674262344837
2025-12-17 09:41:23 | INFO | root | End purification for resolution 16*16, loss=0.05435055121779442
2025-12-17 09:41:23 | INFO | root | End purification for resolution 32*32, loss=0.05679846927523613
2025-12-17 09:41:24 | INFO | root | End purification for resolution 64*64, loss=0.01859501749277115
2025-12-17 09:41:24 | INFO | root | Training time: 1.8211710453033447, loss: 0.01859501749277115, params_num: 19800
2025-12-17 09:41:24 | INFO | root | Purified data 0, shape: torch.Size([1, 64, 1500]), mse:0.12043856084346771, compression rate: 0.20625, 4.848484848484849x
2025-12-17 09:41:24 | INFO | root | 
2025-12-17 09:41:24 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([64, 4096, 1])
2025-12-17 09:41:24 | INFO | root | End purification for resolution 8*8, loss=0.003519323654472828
2025-12-17 09:41:25 | INFO | root | End purification for resolution 16*16, loss=0.056093648076057434
2025-12-17 09:41:25 | INFO | root | End purification for resolution 32*32, loss=0.05676941201090813
2025-12-17 09:41:26 | INFO | root | End purification for resolution 64*64, loss=0.017756789922714233
2025-12-17 09:41:26 | INFO | root | Training time: 1.8056118488311768, loss: 0.017756789922714233, params_num: 19800
2025-12-17 09:41:26 | INFO | root | Purified data 1, shape: torch.Size([1, 64, 1500]), mse:0.11562269181013107, compression rate: 0.20625, 4.848484848484849x
2025-12-17 09:41:26 | INFO | root | 
2025-12-17 09:41:26 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([64, 4096, 1])
2025-12-17 09:41:26 | INFO | root | End purification for resolution 8*8, loss=0.003321060910820961
2025-12-17 09:41:26 | INFO | root | End purification for resolution 16*16, loss=0.05278588831424713
2025-12-17 09:41:27 | INFO | root | End purification for resolution 32*32, loss=0.06856264173984528
2025-12-17 09:41:28 | INFO | root | End purification for resolution 64*64, loss=0.02182859554886818
2025-12-17 09:41:28 | INFO | root | Training time: 1.821044921875, loss: 0.02182859554886818, params_num: 19800
2025-12-17 09:41:28 | INFO | root | Purified data 2, shape: torch.Size([1, 64, 1500]), mse:0.14113222062587738, compression rate: 0.20625, 4.848484848484849x
2025-12-17 09:41:28 | INFO | root | 
2025-12-17 09:41:28 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([64, 4096, 1])
2025-12-17 09:41:28 | INFO | root | End purification for resolution 8*8, loss=0.0032620227430015802
2025-12-17 09:41:28 | INFO | root | End purification for resolution 16*16, loss=0.05016705393791199
2025-12-17 09:41:29 | INFO | root | End purification for resolution 32*32, loss=0.05005037039518356
2025-12-17 09:41:30 | INFO | root | End purification for resolution 64*64, loss=0.01444484107196331
2025-12-17 09:41:30 | INFO | root | Training time: 1.75816011428833, loss: 0.01444484107196331, params_num: 19800
2025-12-17 09:41:30 | INFO | root | Purified data 3, shape: torch.Size([1, 64, 1500]), mse:0.09391871094703674, compression rate: 0.20625, 4.848484848484849x
2025-12-17 09:41:30 | INFO | root | 
2025-12-17 09:41:30 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([64, 4096, 1])
2025-12-17 09:41:30 | INFO | root | End purification for resolution 8*8, loss=0.0037247322034090757
2025-12-17 09:41:30 | INFO | root | End purification for resolution 16*16, loss=0.056988250464200974
2025-12-17 09:41:30 | INFO | root | End purification for resolution 32*32, loss=0.05947837978601456
2025-12-17 09:41:31 | INFO | root | End purification for resolution 64*64, loss=0.01956350915133953
2025-12-17 09:41:31 | INFO | root | Training time: 1.8203940391540527, loss: 0.01956350915133953, params_num: 19800
2025-12-17 09:41:31 | INFO | root | Purified data 4, shape: torch.Size([1, 64, 1500]), mse:0.12685248255729675, compression rate: 0.20625, 4.848484848484849x
2025-12-17 09:41:31 | INFO | root | 
2025-12-17 09:41:31 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([64, 4096, 1])
2025-12-17 09:41:32 | INFO | root | End purification for resolution 8*8, loss=0.0032584546133875847
2025-12-17 09:41:32 | INFO | root | End purification for resolution 16*16, loss=0.054547496140003204
