2025-12-21 02:32:12 | INFO | root | Purifying autoattack on thubenchmark with eegnet
2025-12-21 02:32:12 | INFO | root | Namespace(dataset='thubenchmark', model='eegnet', fold=0, attack='autoattack', batch_size=32, seed=42, gpu_id=0, config='PTR3d_8_2048_rank40_3d_interpolate_TV0.4.yaml', sample_num=512, visualize=False)
2025-12-21 02:32:12 | INFO | torcheeg | 🔍 | Detected cached processing results, reading cache from ./cached_data/thubenchmark_EA.
2025-12-21 02:32:13 | INFO | root | Dataset: thubenchmark
2025-12-21 02:32:13 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/kfold_split.
2025-12-21 02:32:13 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-12-21 02:32:13 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/test_val_split_0.
2025-12-21 02:32:13 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-12-21 02:32:14 | INFO | root | Adversarial and clean data loaded, ad_data shape: torch.Size([512, 1, 64, 1500]), clean_data shape: torch.Size([512, 1, 64, 1500])
2025-12-21 02:32:14 | INFO | root | 
2025-12-21 02:32:14 | INFO | root | Model: eegnet, fold: 0
2025-12-21 02:32:14 | INFO | root | Adversarial data accuracy: 0.177734375, loss: 5.099132791161537
2025-12-21 02:32:14 | INFO | root | Clean data accuracy: 0.927734375, loss: 0.21533196786185727
2025-12-21 02:32:14 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([10, 11, 2048])
2025-12-21 02:32:14 | INFO | root | End purification for resolution 256*256, loss=0.15639770030975342, iterations=256
2025-12-21 02:32:15 | INFO | root | End purification for resolution 512*512, loss=0.17998792231082916, iterations=256
2025-12-21 02:32:16 | INFO | root | End purification for resolution 1024*1024, loss=0.18807987868785858, iterations=512
2025-12-21 02:32:17 | INFO | root | End purification for resolution 2048*2048, loss=0.18492333590984344, iterations=1024
2025-12-21 02:32:17 | INFO | root | Training time: 3.5760412216186523, loss: 0.1208995059132576, params_num: 32911
2025-12-21 02:32:17 | INFO | root | Purified data 0, shape: torch.Size([1, 64, 1500]), mse:0.3656199872493744, compression rate: 0.34282291666666664, 2.916957856035976x
2025-12-21 02:32:17 | INFO | root | 
2025-12-21 02:32:17 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([10, 11, 2048])
2025-12-21 02:32:18 | INFO | root | End purification for resolution 256*256, loss=0.17037609219551086, iterations=256
2025-12-21 02:32:18 | INFO | root | End purification for resolution 512*512, loss=0.18553128838539124, iterations=256
2025-12-21 02:32:19 | INFO | root | End purification for resolution 1024*1024, loss=0.19280481338500977, iterations=512
2025-12-21 02:32:21 | INFO | root | End purification for resolution 2048*2048, loss=0.19020727276802063, iterations=1024
2025-12-21 02:32:21 | INFO | root | Training time: 3.5689969062805176, loss: 0.12679803371429443, params_num: 32911
2025-12-21 02:32:21 | INFO | root | Purified data 1, shape: torch.Size([1, 64, 1500]), mse:0.38401368260383606, compression rate: 0.34282291666666664, 2.916957856035976x
2025-12-21 02:32:21 | INFO | root | 
2025-12-21 02:32:21 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([10, 11, 2048])
2025-12-21 02:32:21 | INFO | root | End purification for resolution 256*256, loss=0.15277476608753204, iterations=256
2025-12-21 02:32:22 | INFO | root | End purification for resolution 512*512, loss=0.19478394091129303, iterations=256
2025-12-21 02:32:23 | INFO | root | End purification for resolution 1024*1024, loss=0.21214452385902405, iterations=512
2025-12-21 02:32:25 | INFO | root | End purification for resolution 2048*2048, loss=0.21207429468631744, iterations=1024
2025-12-21 02:32:25 | INFO | root | Training time: 3.60876202583313, loss: 0.14694036543369293, params_num: 32911
2025-12-21 02:32:25 | INFO | root | Purified data 2, shape: torch.Size([1, 64, 1500]), mse:0.44509685039520264, compression rate: 0.34282291666666664, 2.916957856035976x
2025-12-21 02:32:25 | INFO | root | 
2025-12-21 02:32:25 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([10, 11, 2048])
2025-12-21 02:32:25 | INFO | root | End purification for resolution 256*256, loss=0.1512547880411148, iterations=256
2025-12-21 02:32:25 | INFO | root | End purification for resolution 512*512, loss=0.170731782913208, iterations=256
2025-12-21 02:32:26 | INFO | root | End purification for resolution 1024*1024, loss=0.17367610335350037, iterations=512
2025-12-21 02:32:28 | INFO | root | End purification for resolution 2048*2048, loss=0.1691751480102539, iterations=1024
2025-12-21 02:32:28 | INFO | root | Training time: 3.5805106163024902, loss: 0.10491178929805756, params_num: 32911
2025-12-21 02:32:28 | INFO | root | Purified data 3, shape: torch.Size([1, 64, 1500]), mse:0.31918221712112427, compression rate: 0.34282291666666664, 2.916957856035976x
2025-12-21 02:32:28 | INFO | root | 
2025-12-21 02:32:28 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([10, 11, 2048])
2025-12-21 02:32:29 | INFO | root | End purification for resolution 256*256, loss=0.15376633405685425, iterations=256
2025-12-21 02:32:29 | INFO | root | End purification for resolution 512*512, loss=0.18109016120433807, iterations=256
2025-12-21 02:32:30 | INFO | root | End purification for resolution 1024*1024, loss=0.1888059675693512, iterations=512
2025-12-21 02:32:32 | INFO | root | End purification for resolution 2048*2048, loss=0.18548664450645447, iterations=1024
2025-12-21 02:32:32 | INFO | root | Training time: 3.572761058807373, loss: 0.12225864827632904, params_num: 32911
2025-12-21 02:32:32 | INFO | root | Purified data 4, shape: torch.Size([1, 64, 1500]), mse:0.37080565094947815, compression rate: 0.34282291666666664, 2.916957856035976x
2025-12-21 02:32:32 | INFO | root | 
2025-12-21 02:32:32 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([10, 11, 2048])
2025-12-21 02:32:32 | INFO | root | End purification for resolution 256*256, loss=0.1508273184299469, iterations=256
2025-12-21 02:32:33 | INFO | root | End purification for resolution 512*512, loss=0.18351536989212036, iterations=256
2025-12-21 02:32:34 | INFO | root | End purification for resolution 1024*1024, loss=0.19077005982398987, iterations=512
2025-12-21 02:32:35 | INFO | root | End purification for resolution 2048*2048, loss=0.18794363737106323, iterations=1024
2025-12-21 02:32:35 | INFO | root | Training time: 3.6135647296905518, loss: 0.12468750029802322, params_num: 32911
2025-12-21 02:32:35 | INFO | root | Purified data 5, shape: torch.Size([1, 64, 1500]), mse:0.3769957721233368, compression rate: 0.34282291666666664, 2.916957856035976x
2025-12-21 02:32:35 | INFO | root | 
2025-12-21 02:32:35 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([10, 11, 2048])
2025-12-21 02:32:36 | INFO | root | End purification for resolution 256*256, loss=0.14916953444480896, iterations=256
2025-12-21 02:32:36 | INFO | root | End purification for resolution 512*512, loss=0.1839013248682022, iterations=256
2025-12-21 02:32:37 | INFO | root | End purification for resolution 1024*1024, loss=0.19529029726982117, iterations=512
2025-12-21 02:32:39 | INFO | root | End purification for resolution 2048*2048, loss=0.19443842768669128, iterations=1024
2025-12-21 02:32:39 | INFO | root | Training time: 3.6171534061431885, loss: 0.1312766671180725, params_num: 32911
2025-12-21 02:32:39 | INFO | root | Purified data 6, shape: torch.Size([1, 64, 1500]), mse:0.3969782590866089, compression rate: 0.34282291666666664, 2.916957856035976x
2025-12-21 02:32:39 | INFO | root | 
2025-12-21 02:32:39 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([10, 11, 2048])
2025-12-21 02:32:39 | INFO | root | End purification for resolution 256*256, loss=0.16727161407470703, iterations=256
2025-12-21 02:32:40 | INFO | root | End purification for resolution 512*512, loss=0.18902546167373657, iterations=256
2025-12-21 02:32:41 | INFO | root | End purification for resolution 1024*1024, loss=0.19974163174629211, iterations=512
2025-12-21 02:32:43 | INFO | root | End purification for resolution 2048*2048, loss=0.19718503952026367, iterations=1024
2025-12-21 02:32:43 | INFO | root | Training time: 3.572493553161621, loss: 0.13207204639911652, params_num: 32911
2025-12-21 02:32:43 | INFO | root | Purified data 7, shape: torch.Size([1, 64, 1500]), mse:0.3988024592399597, compression rate: 0.34282291666666664, 2.916957856035976x
2025-12-21 02:32:43 | INFO | root | 
2025-12-21 02:32:43 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([10, 11, 2048])
2025-12-21 02:32:43 | INFO | root | End purification for resolution 256*256, loss=0.15351399779319763, iterations=256
2025-12-21 02:32:44 | INFO | root | End purification for resolution 512*512, loss=0.18293917179107666, iterations=256
2025-12-21 02:32:44 | INFO | root | End purification for resolution 1024*1024, loss=0.1954810917377472, iterations=512
2025-12-21 02:32:46 | INFO | root | End purification for resolution 2048*2048, loss=0.19434919953346252, iterations=1024
2025-12-21 02:32:46 | INFO | root | Training time: 3.6024508476257324, loss: 0.13227462768554688, params_num: 32911
2025-12-21 02:32:46 | INFO | root | Purified data 8, shape: torch.Size([1, 64, 1500]), mse:0.3997228145599365, compression rate: 0.34282291666666664, 2.916957856035976x
2025-12-21 02:32:46 | INFO | root | 
2025-12-21 02:32:46 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([10, 11, 2048])
2025-12-21 02:32:47 | INFO | root | End purification for resolution 256*256, loss=0.17742003500461578, iterations=256
2025-12-21 02:32:47 | INFO | root | End purification for resolution 512*512, loss=0.21141672134399414, iterations=256
