2025-12-21 00:34:12 | INFO | root | Purifying autoattack on thubenchmark with eegnet
2025-12-21 00:34:12 | INFO | root | Namespace(dataset='thubenchmark', model='eegnet', fold=0, attack='autoattack', batch_size=32, seed=42, gpu_id=0, config='PTR3d_8_2048_rank40_3d_interpolate_TVeeg5.yaml', sample_num=512, visualize=False)
2025-12-21 00:34:12 | INFO | torcheeg | 🔍 | Detected cached processing results, reading cache from ./cached_data/thubenchmark_EA.
2025-12-21 00:34:13 | INFO | root | Dataset: thubenchmark
2025-12-21 00:34:13 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/kfold_split.
2025-12-21 00:34:13 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-12-21 00:34:13 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/test_val_split_0.
2025-12-21 00:34:13 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-12-21 00:34:13 | INFO | root | Adversarial and clean data loaded, ad_data shape: torch.Size([512, 1, 64, 1500]), clean_data shape: torch.Size([512, 1, 64, 1500])
2025-12-21 00:34:13 | INFO | root | 
2025-12-21 00:34:13 | INFO | root | Model: eegnet, fold: 0
2025-12-21 00:34:13 | INFO | root | Adversarial data accuracy: 0.177734375, loss: 5.099132791161537
2025-12-21 00:34:13 | INFO | root | Clean data accuracy: 0.927734375, loss: 0.21533196786185727
2025-12-21 00:34:14 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([10, 11, 2048])
2025-12-21 00:34:14 | INFO | root | End purification for resolution 256*256, loss=0.20339426398277283, iterations=256
2025-12-21 00:34:14 | INFO | root | End purification for resolution 512*512, loss=0.22816304862499237, iterations=256
2025-12-21 00:34:15 | INFO | root | End purification for resolution 1024*1024, loss=0.20540618896484375, iterations=512
2025-12-21 00:34:17 | INFO | root | End purification for resolution 2048*2048, loss=0.161726176738739, iterations=1024
2025-12-21 00:34:17 | INFO | root | Training time: 3.163191318511963, loss: 0.09461744874715805, params_num: 32911
2025-12-21 00:34:17 | INFO | root | Purified data 0, shape: torch.Size([1, 64, 1500]), mse:0.2330005019903183, compression rate: 0.34282291666666664, 2.916957856035976x
2025-12-21 00:34:17 | INFO | root | 
2025-12-21 00:34:17 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([10, 11, 2048])
2025-12-21 00:34:17 | INFO | root | End purification for resolution 256*256, loss=0.22174012660980225, iterations=256
2025-12-21 00:34:17 | INFO | root | End purification for resolution 512*512, loss=0.23188558220863342, iterations=256
2025-12-21 00:34:18 | INFO | root | End purification for resolution 1024*1024, loss=0.2013395130634308, iterations=512
2025-12-21 00:34:20 | INFO | root | End purification for resolution 2048*2048, loss=0.15633010864257812, iterations=1024
2025-12-21 00:34:20 | INFO | root | Training time: 3.145728349685669, loss: 0.09130781143903732, params_num: 32911
2025-12-21 00:34:20 | INFO | root | Purified data 1, shape: torch.Size([1, 64, 1500]), mse:0.22098350524902344, compression rate: 0.34282291666666664, 2.916957856035976x
2025-12-21 00:34:20 | INFO | root | 
2025-12-21 00:34:20 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([10, 11, 2048])
2025-12-21 00:34:20 | INFO | root | End purification for resolution 256*256, loss=0.1723184436559677, iterations=256
2025-12-21 00:34:21 | INFO | root | End purification for resolution 512*512, loss=0.23163026571273804, iterations=256
2025-12-21 00:34:21 | INFO | root | End purification for resolution 1024*1024, loss=0.22654905915260315, iterations=512
2025-12-21 00:34:23 | INFO | root | End purification for resolution 2048*2048, loss=0.1868549883365631, iterations=1024
2025-12-21 00:34:23 | INFO | root | Training time: 3.1156246662139893, loss: 0.1169237270951271, params_num: 32911
2025-12-21 00:34:23 | INFO | root | Purified data 2, shape: torch.Size([1, 64, 1500]), mse:0.29105907678604126, compression rate: 0.34282291666666664, 2.916957856035976x
2025-12-21 00:34:23 | INFO | root | 
2025-12-21 00:34:23 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([10, 11, 2048])
2025-12-21 00:34:23 | INFO | root | End purification for resolution 256*256, loss=0.22368758916854858, iterations=256
2025-12-21 00:34:24 | INFO | root | End purification for resolution 512*512, loss=0.23980849981307983, iterations=256
2025-12-21 00:34:25 | INFO | root | End purification for resolution 1024*1024, loss=0.20180967450141907, iterations=512
2025-12-21 00:34:26 | INFO | root | End purification for resolution 2048*2048, loss=0.14887109398841858, iterations=1024
2025-12-21 00:34:26 | INFO | root | Training time: 3.0082526206970215, loss: 0.07388152182102203, params_num: 32911
2025-12-21 00:34:26 | INFO | root | Purified data 3, shape: torch.Size([1, 64, 1500]), mse:0.17629626393318176, compression rate: 0.34282291666666664, 2.916957856035976x
2025-12-21 00:34:26 | INFO | root | 
2025-12-21 00:34:26 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([10, 11, 2048])
2025-12-21 00:34:26 | INFO | root | End purification for resolution 256*256, loss=0.20169486105442047, iterations=256
2025-12-21 00:34:27 | INFO | root | End purification for resolution 512*512, loss=0.23249167203903198, iterations=256
2025-12-21 00:34:27 | INFO | root | End purification for resolution 1024*1024, loss=0.208143413066864, iterations=512
2025-12-21 00:34:29 | INFO | root | End purification for resolution 2048*2048, loss=0.16245931386947632, iterations=1024
2025-12-21 00:34:29 | INFO | root | Training time: 2.9194939136505127, loss: 0.09309753030538559, params_num: 32911
2025-12-21 00:34:29 | INFO | root | Purified data 4, shape: torch.Size([1, 64, 1500]), mse:0.22731152176856995, compression rate: 0.34282291666666664, 2.916957856035976x
2025-12-21 00:34:29 | INFO | root | 
2025-12-21 00:34:29 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([10, 11, 2048])
2025-12-21 00:34:29 | INFO | root | End purification for resolution 256*256, loss=0.20859837532043457, iterations=256
2025-12-21 00:34:30 | INFO | root | End purification for resolution 512*512, loss=0.23998451232910156, iterations=256
2025-12-21 00:34:30 | INFO | root | End purification for resolution 1024*1024, loss=0.21277907490730286, iterations=512
2025-12-21 00:34:32 | INFO | root | End purification for resolution 2048*2048, loss=0.16629000008106232, iterations=1024
2025-12-21 00:34:32 | INFO | root | Training time: 2.9457387924194336, loss: 0.09744936972856522, params_num: 32911
2025-12-21 00:34:32 | INFO | root | Purified data 5, shape: torch.Size([1, 64, 1500]), mse:0.2383960336446762, compression rate: 0.34282291666666664, 2.916957856035976x
2025-12-21 00:34:32 | INFO | root | 
2025-12-21 00:34:32 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([10, 11, 2048])
2025-12-21 00:34:32 | INFO | root | End purification for resolution 256*256, loss=0.18178904056549072, iterations=256
2025-12-21 00:34:33 | INFO | root | End purification for resolution 512*512, loss=0.2224625051021576, iterations=256
2025-12-21 00:34:33 | INFO | root | End purification for resolution 1024*1024, loss=0.20447856187820435, iterations=512
2025-12-21 00:34:35 | INFO | root | End purification for resolution 2048*2048, loss=0.16336558759212494, iterations=1024
2025-12-21 00:34:35 | INFO | root | Training time: 2.9451963901519775, loss: 0.09863575547933578, params_num: 32911
2025-12-21 00:34:35 | INFO | root | Purified data 6, shape: torch.Size([1, 64, 1500]), mse:0.24547001719474792, compression rate: 0.34282291666666664, 2.916957856035976x
2025-12-21 00:34:35 | INFO | root | 
