2025-12-30 03:38:58 | INFO | root | Purifying autoattack on thubenchmark with eegnet
2025-12-30 03:38:58 | INFO | root | Namespace(dataset='thubenchmark', model='eegnet', fold=0, attack='autoattack', batch_size=32, seed=42, gpu_id=0, config='PTR3d_8_2048_rank40_3d_interpolate_TVft0.02.yaml', sample_num=512, visualize=False)
2025-12-30 03:38:58 | INFO | torcheeg | 🔍 | Detected cached processing results, reading cache from ./cached_data/thubenchmark_EA.
2025-12-30 03:38:59 | INFO | root | Dataset: thubenchmark
2025-12-30 03:38:59 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/kfold_split.
2025-12-30 03:38:59 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-12-30 03:38:59 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/test_val_split_0.
2025-12-30 03:38:59 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-12-30 03:39:00 | INFO | root | Adversarial and clean data loaded, ad_data shape: torch.Size([512, 1, 64, 1500]), clean_data shape: torch.Size([512, 1, 64, 1500])
2025-12-30 03:39:00 | INFO | root | 
2025-12-30 03:39:00 | INFO | root | Model: eegnet, fold: 0
2025-12-30 03:39:00 | INFO | root | Adversarial data accuracy: 0.177734375, loss: 5.099132791161537
2025-12-30 03:39:00 | INFO | root | Clean data accuracy: 0.927734375, loss: 0.21533196786185727
2025-12-30 03:39:00 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([10, 11, 2048])
2025-12-30 03:39:01 | INFO | root | End purification for resolution 256*256, loss=0.11347139626741409, iterations=256
2025-12-30 03:39:02 | INFO | root | End purification for resolution 512*512, loss=0.12632551789283752, iterations=256
2025-12-30 03:39:04 | INFO | root | End purification for resolution 1024*1024, loss=0.134830042719841, iterations=512
2025-12-30 03:39:07 | INFO | root | End purification for resolution 2048*2048, loss=0.12289705872535706, iterations=1024
2025-12-30 03:39:07 | INFO | root | Training time: 6.859946250915527, loss: 0.0624273456633091, params_num: 32911
2025-12-30 03:39:07 | INFO | root | Purified data 0, shape: torch.Size([1, 64, 1500]), mse:0.16305024921894073, compression rate: 0.34282291666666664, 2.916957856035976x
2025-12-30 03:39:07 | INFO | root | 
2025-12-30 03:39:07 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([10, 11, 2048])
2025-12-30 03:39:08 | INFO | root | End purification for resolution 256*256, loss=0.18100547790527344, iterations=256
2025-12-30 03:39:09 | INFO | root | End purification for resolution 512*512, loss=0.13865865767002106, iterations=256
2025-12-30 03:39:11 | INFO | root | End purification for resolution 1024*1024, loss=0.13889598846435547, iterations=512
2025-12-30 03:39:14 | INFO | root | End purification for resolution 2048*2048, loss=0.12374744564294815, iterations=1024
2025-12-30 03:39:14 | INFO | root | Training time: 6.7329912185668945, loss: 0.06314627826213837, params_num: 32911
2025-12-30 03:39:14 | INFO | root | Purified data 1, shape: torch.Size([1, 64, 1500]), mse:0.16728650033473969, compression rate: 0.34282291666666664, 2.916957856035976x
2025-12-30 03:39:14 | INFO | root | 
2025-12-30 03:39:14 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([10, 11, 2048])
2025-12-30 03:39:15 | INFO | root | End purification for resolution 256*256, loss=0.16139009594917297, iterations=256
2025-12-30 03:39:16 | INFO | root | End purification for resolution 512*512, loss=0.15607909858226776, iterations=256
2025-12-30 03:39:17 | INFO | root | End purification for resolution 1024*1024, loss=0.1467810571193695, iterations=512
2025-12-30 03:39:21 | INFO | root | End purification for resolution 2048*2048, loss=0.1342458873987198, iterations=1024
2025-12-30 03:39:21 | INFO | root | Training time: 6.739947080612183, loss: 0.07529716938734055, params_num: 32911
2025-12-30 03:39:21 | INFO | root | Purified data 2, shape: torch.Size([1, 64, 1500]), mse:0.19884470105171204, compression rate: 0.34282291666666664, 2.916957856035976x
2025-12-30 03:39:21 | INFO | root | 
2025-12-30 03:39:21 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([10, 11, 2048])
2025-12-30 03:39:22 | INFO | root | End purification for resolution 256*256, loss=0.1055968850851059, iterations=256
2025-12-30 03:39:22 | INFO | root | End purification for resolution 512*512, loss=0.10848642885684967, iterations=256
2025-12-30 03:39:24 | INFO | root | End purification for resolution 1024*1024, loss=0.10194514691829681, iterations=512
2025-12-30 03:39:27 | INFO | root | End purification for resolution 2048*2048, loss=0.1032620519399643, iterations=1024
2025-12-30 03:39:27 | INFO | root | Training time: 6.730698823928833, loss: 0.04580782726407051, params_num: 32911
2025-12-30 03:39:27 | INFO | root | Purified data 3, shape: torch.Size([1, 64, 1500]), mse:0.12117914855480194, compression rate: 0.34282291666666664, 2.916957856035976x
2025-12-30 03:39:27 | INFO | root | 
2025-12-30 03:39:27 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([10, 11, 2048])
2025-12-30 03:39:28 | INFO | root | End purification for resolution 256*256, loss=0.10727737843990326, iterations=256
2025-12-30 03:39:29 | INFO | root | End purification for resolution 512*512, loss=0.11736048012971878, iterations=256
2025-12-30 03:39:31 | INFO | root | End purification for resolution 1024*1024, loss=0.11976899206638336, iterations=512
2025-12-30 03:39:34 | INFO | root | End purification for resolution 2048*2048, loss=0.12285159528255463, iterations=1024
2025-12-30 03:39:34 | INFO | root | Training time: 6.734527826309204, loss: 0.061710771173238754, params_num: 32911
2025-12-30 03:39:34 | INFO | root | Purified data 4, shape: torch.Size([1, 64, 1500]), mse:0.15606459975242615, compression rate: 0.34282291666666664, 2.916957856035976x
2025-12-30 03:39:34 | INFO | root | 
2025-12-30 03:39:34 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([10, 11, 2048])
2025-12-30 03:39:35 | INFO | root | End purification for resolution 256*256, loss=0.11087583750486374, iterations=256
2025-12-30 03:39:36 | INFO | root | End purification for resolution 512*512, loss=0.12936750054359436, iterations=256
2025-12-30 03:39:38 | INFO | root | End purification for resolution 1024*1024, loss=0.15027113258838654, iterations=512
2025-12-30 03:39:41 | INFO | root | End purification for resolution 2048*2048, loss=0.12839455902576447, iterations=1024
2025-12-30 03:39:41 | INFO | root | Training time: 6.737399101257324, loss: 0.06616287678480148, params_num: 32911
2025-12-30 03:39:41 | INFO | root | Purified data 5, shape: torch.Size([1, 64, 1500]), mse:0.1729353815317154, compression rate: 0.34282291666666664, 2.916957856035976x
2025-12-30 03:39:41 | INFO | root | 
2025-12-30 03:39:41 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([10, 11, 2048])
2025-12-30 03:39:42 | INFO | root | End purification for resolution 256*256, loss=0.11234498023986816, iterations=256
2025-12-30 03:39:43 | INFO | root | End purification for resolution 512*512, loss=0.12730424106121063, iterations=256
2025-12-30 03:39:44 | INFO | root | End purification for resolution 1024*1024, loss=0.13052242994308472, iterations=512
