2025-12-18 03:12:15 | INFO | root | Purifying autoattack on thubenchmark with eegnet
2025-12-18 03:12:15 | INFO | root | Namespace(dataset='thubenchmark', model='eegnet', fold=0, attack='autoattack', batch_size=32, seed=42, gpu_id=0, config='PTR3d_8_2048_rank40_fft_TV1.yaml', sample_num=512, visualize=False)
2025-12-18 03:12:15 | INFO | torcheeg | 🔍 | Detected cached processing results, reading cache from ./cached_data/thubenchmark_EA.
2025-12-18 03:12:16 | INFO | root | Dataset: thubenchmark
2025-12-18 03:12:16 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/kfold_split.
2025-12-18 03:12:16 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-12-18 03:12:16 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/test_val_split_0.
2025-12-18 03:12:16 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-12-18 03:12:17 | INFO | root | Adversarial and clean data loaded, ad_data shape: torch.Size([512, 1, 64, 1500]), clean_data shape: torch.Size([512, 1, 64, 1500])
2025-12-18 03:12:17 | INFO | root | 
2025-12-18 03:12:17 | INFO | root | Model: eegnet, fold: 0
2025-12-18 03:12:17 | INFO | root | Adversarial data accuracy: 0.177734375, loss: 5.099132791161537
2025-12-18 03:12:17 | INFO | root | Clean data accuracy: 0.927734375, loss: 0.21533196786185727
2025-12-18 03:12:17 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([10, 11, 2048])
2025-12-18 03:12:17 | INFO | root | End purification for resolution 256*256, loss=0.18503518402576447, iterations=256
2025-12-18 03:12:18 | INFO | root | End purification for resolution 512*512, loss=0.2069232165813446, iterations=256
2025-12-18 03:12:19 | INFO | root | End purification for resolution 1024*1024, loss=0.2236902266740799, iterations=512
2025-12-18 03:12:21 | INFO | root | End purification for resolution 2048*2048, loss=0.2261223942041397, iterations=1024
2025-12-18 03:12:21 | INFO | root | Training time: 3.6201674938201904, loss: 0.17774991691112518, params_num: 32911
2025-12-18 03:12:21 | INFO | root | Purified data 0, shape: torch.Size([1, 64, 1500]), mse:0.5594034790992737, compression rate: 0.34282291666666664, 2.916957856035976x
2025-12-18 03:12:21 | INFO | root | 
2025-12-18 03:12:21 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([10, 11, 2048])
2025-12-18 03:12:21 | INFO | root | End purification for resolution 256*256, loss=0.19455808401107788, iterations=256
2025-12-18 03:12:22 | INFO | root | End purification for resolution 512*512, loss=0.2106645107269287, iterations=256
2025-12-18 03:12:22 | INFO | root | End purification for resolution 1024*1024, loss=0.2261202037334442, iterations=512
2025-12-18 03:12:24 | INFO | root | End purification for resolution 2048*2048, loss=0.2288135439157486, iterations=1024
