2025-12-20 20:38:42 | INFO | root | Purifying autoattack on thubenchmark with eegnet
2025-12-20 20:38:42 | INFO | root | Namespace(dataset='thubenchmark', model='eegnet', fold=0, attack='autoattack', batch_size=32, seed=42, gpu_id=0, config='PTR3d_8_2048_rank5_3d_interpolate.yaml', sample_num=512, visualize=False)
2025-12-20 20:38:42 | INFO | torcheeg | 🔍 | Detected cached processing results, reading cache from ./cached_data/thubenchmark_EA.
2025-12-20 20:38:44 | INFO | root | Dataset: thubenchmark
2025-12-20 20:38:44 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/kfold_split.
2025-12-20 20:38:44 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-12-20 20:38:44 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/test_val_split_0.
2025-12-20 20:38:44 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-12-20 20:38:44 | INFO | root | Adversarial and clean data loaded, ad_data shape: torch.Size([512, 1, 64, 1500]), clean_data shape: torch.Size([512, 1, 64, 1500])
2025-12-20 20:38:44 | INFO | root | 
2025-12-20 20:38:44 | INFO | root | Model: eegnet, fold: 0
2025-12-20 20:38:44 | INFO | root | Adversarial data accuracy: 0.177734375, loss: 5.099132791161537
2025-12-20 20:38:44 | INFO | root | Clean data accuracy: 0.927734375, loss: 0.21533196786185727
2025-12-20 20:38:44 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([10, 11, 2048])
2025-12-20 20:38:45 | INFO | root | End purification for resolution 256*256, loss=0.27244818210601807, iterations=256
2025-12-20 20:38:45 | INFO | root | End purification for resolution 512*512, loss=0.28714609146118164, iterations=256
2025-12-20 20:38:46 | INFO | root | End purification for resolution 1024*1024, loss=0.29938414692878723, iterations=512
2025-12-20 20:38:47 | INFO | root | End purification for resolution 2048*2048, loss=0.30851370096206665, iterations=1024
2025-12-20 20:38:47 | INFO | root | Training time: 3.0570192337036133, loss: 0.30851370096206665, params_num: 3091
2025-12-20 20:38:47 | INFO | root | Purified data 0, shape: torch.Size([1, 64, 1500]), mse:0.747793972492218, compression rate: 0.032197916666666666, 31.05791006146878x
2025-12-20 20:38:47 | INFO | root | 
2025-12-20 20:38:47 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([10, 11, 2048])
2025-12-20 20:38:48 | INFO | root | End purification for resolution 256*256, loss=0.30169957876205444, iterations=256
2025-12-20 20:38:48 | INFO | root | End purification for resolution 512*512, loss=0.28428566455841064, iterations=256
2025-12-20 20:38:49 | INFO | root | End purification for resolution 1024*1024, loss=0.2853032350540161, iterations=512
2025-12-20 20:38:50 | INFO | root | End purification for resolution 2048*2048, loss=0.29108259081840515, iterations=1024
2025-12-20 20:38:50 | INFO | root | Training time: 2.886000156402588, loss: 0.29108259081840515, params_num: 3091
2025-12-20 20:38:50 | INFO | root | Purified data 1, shape: torch.Size([1, 64, 1500]), mse:0.6801338791847229, compression rate: 0.032197916666666666, 31.05791006146878x
2025-12-20 20:38:50 | INFO | root | 
2025-12-20 20:38:50 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([10, 11, 2048])
2025-12-20 20:38:51 | INFO | root | End purification for resolution 256*256, loss=0.21430285274982452, iterations=256
2025-12-20 20:38:51 | INFO | root | End purification for resolution 512*512, loss=0.2939229905605316, iterations=256
