2025-12-17 04:47:54 | INFO | root | Purifying autoattack on thubenchmark with eegnet
2025-12-17 04:47:54 | INFO | root | Namespace(dataset='thubenchmark', model='eegnet', fold=0, attack='autoattack', batch_size=32, seed=42, gpu_id=0, config='PTRtfs_8_2048_rank15.yaml', sample_num=512, visualize=False)
2025-12-17 04:47:54 | INFO | torcheeg | 🔍 | Detected cached processing results, reading cache from ./cached_data/thubenchmark_EA.
2025-12-17 04:47:55 | INFO | root | Dataset: thubenchmark
2025-12-17 04:47:55 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/kfold_split.
2025-12-17 04:47:55 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-12-17 04:47:55 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/test_val_split_0.
2025-12-17 04:47:55 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-12-17 04:47:56 | INFO | root | Adversarial and clean data loaded, ad_data shape: torch.Size([512, 1, 64, 1500]), clean_data shape: torch.Size([512, 1, 64, 1500])
2025-12-17 04:47:56 | INFO | root | 
2025-12-17 04:47:56 | INFO | root | Model: eegnet, fold: 0
2025-12-17 04:47:56 | INFO | root | Adversarial data accuracy: 0.177734375, loss: 5.099132791161537
2025-12-17 04:47:56 | INFO | root | Clean data accuracy: 0.927734375, loss: 0.21533196786185727
2025-12-17 04:47:56 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([2, 64, 64, 64])
2025-12-17 04:47:57 | INFO | root | End purification for resolution 8*8, loss=1.9437229639152065e-06
2025-12-17 04:47:57 | INFO | root | End purification for resolution 16*16, loss=0.00011014458141289651
2025-12-17 04:47:58 | INFO | root | End purification for resolution 32*32, loss=0.010402137413620949
2025-12-17 04:47:59 | INFO | root | End purification for resolution 64*64, loss=0.1655532717704773
2025-12-17 04:47:59 | INFO | root | Training time: 2.8216114044189453, loss: 0.1655532717704773, params_num: 11250
2025-12-17 04:47:59 | INFO | root | Purified data 0, shape: torch.Size([1, 64, 1500]), mse:0.5246686339378357, compression rate: 0.1171875, 8.533333333333333x
2025-12-17 04:47:59 | INFO | root | 
2025-12-17 04:47:59 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([2, 64, 64, 64])
2025-12-17 04:48:00 | INFO | root | End purification for resolution 8*8, loss=1.7265514316022745e-06
2025-12-17 04:48:00 | INFO | root | End purification for resolution 16*16, loss=0.00015078856085892767
2025-12-17 04:48:01 | INFO | root | End purification for resolution 32*32, loss=0.010493156500160694
2025-12-17 04:48:02 | INFO | root | End purification for resolution 64*64, loss=0.14927369356155396
2025-12-17 04:48:02 | INFO | root | Training time: 2.4873881340026855, loss: 0.14927369356155396, params_num: 11250
2025-12-17 04:48:02 | INFO | root | Purified data 1, shape: torch.Size([1, 64, 1500]), mse:0.4660990536212921, compression rate: 0.1171875, 8.533333333333333x
2025-12-17 04:48:02 | INFO | root | 
2025-12-17 04:48:02 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([2, 64, 64, 64])
2025-12-17 04:48:02 | INFO | root | End purification for resolution 8*8, loss=3.710194050654536e-06
2025-12-17 04:48:02 | INFO | root | End purification for resolution 16*16, loss=0.00011302268103463575
2025-12-17 04:48:03 | INFO | root | End purification for resolution 32*32, loss=0.00995465274900198
2025-12-17 04:48:04 | INFO | root | End purification for resolution 64*64, loss=0.1785176694393158
2025-12-17 04:48:04 | INFO | root | Training time: 2.6251063346862793, loss: 0.1785176694393158, params_num: 11250
2025-12-17 04:48:04 | INFO | root | Purified data 2, shape: torch.Size([1, 64, 1500]), mse:0.5693762898445129, compression rate: 0.1171875, 8.533333333333333x
2025-12-17 04:48:04 | INFO | root | 
2025-12-17 04:48:04 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([2, 64, 64, 64])
2025-12-17 04:48:05 | INFO | root | End purification for resolution 8*8, loss=1.8784035091812257e-06
2025-12-17 04:48:05 | INFO | root | End purification for resolution 16*16, loss=0.00010872958227992058
2025-12-17 04:48:06 | INFO | root | End purification for resolution 32*32, loss=0.009092142805457115
2025-12-17 04:48:07 | INFO | root | End purification for resolution 64*64, loss=0.14181329309940338
2025-12-17 04:48:07 | INFO | root | Training time: 2.5830979347229004, loss: 0.14181329309940338, params_num: 11250
2025-12-17 04:48:07 | INFO | root | Purified data 3, shape: torch.Size([1, 64, 1500]), mse:0.44037264585494995, compression rate: 0.1171875, 8.533333333333333x
2025-12-17 04:48:07 | INFO | root | 
2025-12-17 04:48:07 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([2, 64, 64, 64])
2025-12-17 04:48:07 | INFO | root | End purification for resolution 8*8, loss=1.366536935165641e-06
2025-12-17 04:48:08 | INFO | root | End purification for resolution 16*16, loss=9.146519732894376e-05
2025-12-17 04:48:08 | INFO | root | End purification for resolution 32*32, loss=0.009889393113553524
2025-12-17 04:48:10 | INFO | root | End purification for resolution 64*64, loss=0.16433390974998474
2025-12-17 04:48:10 | INFO | root | Training time: 2.6769778728485107, loss: 0.16433390974998474, params_num: 11250
2025-12-17 04:48:10 | INFO | root | Purified data 4, shape: torch.Size([1, 64, 1500]), mse:0.5187025666236877, compression rate: 0.1171875, 8.533333333333333x
2025-12-17 04:48:10 | INFO | root | 
2025-12-17 04:48:10 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([2, 64, 64, 64])
2025-12-17 04:48:10 | INFO | root | End purification for resolution 8*8, loss=2.0150650925643276e-06
2025-12-17 04:48:10 | INFO | root | End purification for resolution 16*16, loss=0.00013195413339417428
2025-12-17 04:48:11 | INFO | root | End purification for resolution 32*32, loss=0.01009892113506794
2025-12-17 04:48:12 | INFO | root | End purification for resolution 64*64, loss=0.15346214175224304
2025-12-17 04:48:12 | INFO | root | Training time: 2.406280517578125, loss: 0.15346214175224304, params_num: 11250
2025-12-17 04:48:12 | INFO | root | Purified data 5, shape: torch.Size([1, 64, 1500]), mse:0.484070748090744, compression rate: 0.1171875, 8.533333333333333x
2025-12-17 04:48:12 | INFO | root | 
2025-12-17 04:48:12 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([2, 64, 64, 64])
2025-12-17 04:48:12 | INFO | root | End purification for resolution 8*8, loss=2.1241899048618507e-06
2025-12-17 04:48:13 | INFO | root | End purification for resolution 16*16, loss=0.0001222157443407923
2025-12-17 04:48:13 | INFO | root | End purification for resolution 32*32, loss=0.009732468985021114
2025-12-17 04:48:15 | INFO | root | End purification for resolution 64*64, loss=0.16151611506938934
2025-12-17 04:48:15 | INFO | root | Training time: 2.40236496925354, loss: 0.16151611506938934, params_num: 11250
2025-12-17 04:48:15 | INFO | root | Purified data 6, shape: torch.Size([1, 64, 1500]), mse:0.5196396708488464, compression rate: 0.1171875, 8.533333333333333x
2025-12-17 04:48:15 | INFO | root | 
2025-12-17 04:48:15 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([2, 64, 64, 64])
2025-12-17 04:48:15 | INFO | root | End purification for resolution 8*8, loss=8.248910035035806e-07
2025-12-17 04:48:15 | INFO | root | End purification for resolution 16*16, loss=0.00010753983224276453
2025-12-17 04:48:16 | INFO | root | End purification for resolution 32*32, loss=0.00952468253672123
2025-12-17 04:48:17 | INFO | root | End purification for resolution 64*64, loss=0.16265511512756348
2025-12-17 04:48:17 | INFO | root | Training time: 2.4274532794952393, loss: 0.16265511512756348, params_num: 11250
2025-12-17 04:48:17 | INFO | root | Purified data 7, shape: torch.Size([1, 64, 1500]), mse:0.5171836614608765, compression rate: 0.1171875, 8.533333333333333x
2025-12-17 04:48:17 | INFO | root | 
2025-12-17 04:48:17 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([2, 64, 64, 64])
2025-12-17 04:48:17 | INFO | root | End purification for resolution 8*8, loss=2.1048717826488428e-06
2025-12-17 04:48:18 | INFO | root | End purification for resolution 16*16, loss=0.00013535625475924462
2025-12-17 04:48:18 | INFO | root | End purification for resolution 32*32, loss=0.010452402755618095
2025-12-17 04:48:20 | INFO | root | End purification for resolution 64*64, loss=0.16116753220558167
2025-12-17 04:48:20 | INFO | root | Training time: 2.659775733947754, loss: 0.16116753220558167, params_num: 11250
2025-12-17 04:48:20 | INFO | root | Purified data 8, shape: torch.Size([1, 64, 1500]), mse:0.5155015587806702, compression rate: 0.1171875, 8.533333333333333x
2025-12-17 04:48:20 | INFO | root | 
