channel,mean_abs,rms,mean_p2p,mean_abs_rel,rms_rel,mean_p2p_rel
CZ,0.7922422269208063,1.0,6.6871744587060595,1.01229936453897,1.0,0.9287809079445439
POZ,0.789169737729411,1.0,6.857070792930216,1.008373445482508,1.0,0.9523777906835198
CP2,0.7887416343889327,1.0,6.740234883489516,1.0078264300309239,1.0,0.9361504643708971
C2,0.7883539648113701,1.0,6.750663063488087,1.0073310794251589,1.0,0.9375988331172325
CP1,0.7883471717186916,1.0,6.752938318131218,1.007322399449303,1.0,0.9379148429785424
CPZ,0.7881722853067152,1.0,7.0041571758022,1.0070989357185218,1.0,0.9728066018463968
C1,0.7880771772411702,1.0,6.750900782402167,1.006977409964097,1.0,0.9376318498704542
C6,0.7880642955845494,1.0,6.848814502648968,1.0069609502345238,1.0,0.9512310754555826
FCZ,0.787911865189114,1.0,6.778961966146219,1.0067661800150225,1.0,0.941529264522448
PZ,0.7878595363157643,1.0,6.874208701713226,1.0066993160137878,1.0,0.9547580729055622
T7,0.7874368841787236,1.0,6.976335737312312,1.006159265918995,1.0,0.9689424853857712
FC2,0.7874030905512358,1.0,6.8615706235961005,1.006116085605615,1.0,0.9530027716582596
CP4,0.7872853072330839,1.0,6.783371942017114,1.0059655862077455,1.0,0.9421417655748247
C4,0.7872432787337457,1.0,6.776576856491103,1.0059118836635905,1.0,0.9411979969108872
C5,0.7872210290054868,1.0,6.8792586110541185,1.0058834537402512,1.0,0.955459454245564
T8,0.7870584689611624,1.0,6.9912865099784245,1.0056757402102507,1.0,0.9710189965186946
CP6,0.7870420820481624,1.0,6.8565517684903305,1.005654801586869,1.0,0.9523057034374791
C3,0.7869337013083959,1.0,6.7976677259961615,1.0055163164742789,1.0,0.944127305402719
OZ,0.7867481596832666,1.0,7.029036882109016,1.0052792378853932,1.0,0.9762621414552003
TP8,0.7866512657446078,1.0,7.009007635489577,1.0051554302048644,1.0,0.9734802816464693
FC1,0.7865752233328122,1.0,6.911138524918563,1.005058265874912,1.0,0.9598872518941903
CP3,0.7864908391295797,1.0,6.842869218485679,1.004950442696083,1.0,0.9504053356072706
P1,0.7863463371935452,1.0,6.939060039663938,1.0047658031842621,1.0,0.9637652679346772
P2,0.7863300296154635,1.0,6.94514749642606,1.0047449659322598,1.0,0.9646107541192399
FC4,0.7860482672046509,1.0,6.99071101127022,1.0043849397941365,1.0,0.9709390655678831
CP5,0.786015340525612,1.0,6.915659207215068,1.0043428672371142,1.0,0.9605151289495601
FC3,0.785512028925552,1.0,7.027852689790664,1.0036997533060557,1.0,0.9760976691173824
TP7,0.7853449860922267,1.0,7.055601367349053,1.0034863118253063,1.0,0.9799516798204212
FC6,0.7846967979016093,1.0,7.154686145747894,1.002658079662002,1.0,0.9937135535404865
PO3,0.7845460433465278,1.0,7.130629900784599,1.0024654507725985,1.0,0.9903723843850061
O2,0.7843101416353139,1.0,7.19130423857718,1.002164023829877,1.0,0.9987994363322693
P4,0.7842653815221826,1.0,7.05265020818238,1.0021068309253085,1.0,0.9795417936559077
FC5,0.7840244871809773,1.0,7.1516620850017105,1.001799024574881,1.0,0.9932935420837998
FZ,0.7840042299846313,1.0,7.0531323225801295,1.0017731406390193,1.0,0.9796087544703503
P3,0.7839596381650062,1.0,7.055508517850722,1.0017161627739977,1.0,0.979938783964048
FT8,0.7839530044125284,1.0,7.243246117019575,1.001707686397468,1.0,1.006013637983202
PO4,0.7835346618030609,1.0,7.1820323212021915,1.0011731428660415,1.0,0.9975116607715888
O1,0.7834994514487034,1.0,7.2007268476637885,1.0011281523086968,1.0,1.0001081414478168
P5,0.7832963017637732,1.0,7.107238439353995,1.0008685747578252,1.0,0.9871235469395613
F2,0.7832419346324331,1.0,7.110180439188067,1.0007991063419326,1.0,0.9875321609654008
P6,0.7832223558124602,1.0,7.114035958889234,1.0007740892116366,1.0,0.9880676536627665
P7,0.7829755623304405,1.0,7.1732962679079035,1.000458745145729,1.0,0.9962983113127666
F1,0.7829000859522289,1.0,7.1752908308353085,1.0003623040736616,1.0,0.9965753359332706
P8,0.7828140514676524,1.0,7.155348535022492,1.0002523722231418,1.0,0.9938055527122852
POO7,0.7827355331879186,1.0,7.2182227971825705,1.00015204431587,1.0,1.002538151907354
POO8,0.782330567286751,1.0,7.30098070662239,0.9996345930737099,1.0,1.01403238863525
FT7,0.7823075916440517,1.0,7.305429209693328,0.9996052356023281,1.0,1.0146502407261044
TP10,0.7820568071702134,1.0,7.360946789228072,0.999284791986883,1.0,1.0223610710993174
