channel,mean_abs,rms,mean_p2p,mean_abs_rel,rms_rel,mean_p2p_rel
CZ,0.020415808239097385,0.02581988897471611,0.17252188657647402,1.0269573935221525,1.0000000000000009,0.9172140858716121
CPZ,0.02029664713253184,0.025819888974716113,0.18150307152903122,1.0209633433246483,1.000000000000001,0.964962632503996
POZ,0.020262165520297245,0.025819888974716113,0.17416021894612035,1.019228846888839,1.000000000000001,0.9259242939304193
PZ,0.020250668022458753,0.025819888974716102,0.17461572748965082,1.0186504989599223,1.0000000000000007,0.9283460089988771
CP2,0.02023067257666655,0.02581988897471611,0.17331272172597326,1.0176446866671838,1.0000000000000009,0.9214185677093502
P1,0.020222403226721676,0.025819888974716074,0.17596292358263052,1.0172287212561624,0.9999999999999996,0.9355083885521777
P2,0.02020376954772446,0.02581988897471612,0.1757418627797951,1.0162914086506265,1.0000000000000013,0.9343331169027753
PO3,0.020201334208263824,0.025819888974716383,0.17874183388016016,1.0161689060371837,1.0000000000000115,0.9502824889219764
C2,0.020200013411884862,0.025819888974716095,0.17311819910401507,1.0161024672466727,1.0000000000000004,0.92038438652561
OZ,0.02019283435918652,0.025819888974716015,0.1797791711673585,1.015741346042912,0.9999999999999973,0.9557975014835647
C1,0.02018403441653384,0.02581988897471612,0.17381139758873407,1.0152986907209232,1.0000000000000013,0.9240697821997832
FZ,0.020175830834457002,0.02581988897471616,0.1735826458247271,1.0148860335697338,1.0000000000000029,0.9228536214895178
CP1,0.020175494047311948,0.025819888974716126,0.17539817202055014,1.014869092479545,1.0000000000000016,0.9325058820410487
FC2,0.020157919220137842,0.025819888974716043,0.17345493685151078,1.0139850423114132,0.9999999999999983,0.9221746556408903
F2,0.020144687926446223,0.0258198889747163,0.17582178884408037,1.0133194808639634,1.0000000000000084,0.9347580445072984
P3,0.020125975328870487,0.025819888974716047,0.17962977220021636,1.0123781984906501,0.9999999999999986,0.9550032205966774
PO5,0.02012363674838439,0.02581988897471596,0.18297725203117415,1.012260563053815,0.9999999999999951,0.9728001257549375
PO4,0.02012293510849922,0.02581988897471579,0.18224760301693313,1.01222526911594,0.9999999999999886,0.968920940528734
FCZ,0.020109496400637552,0.025819888974716057,0.17132982153408519,1.011549274306609,0.9999999999999989,0.9108764618758908
